地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,106.2,106.7,104.7,106.6,106.6,106.0,109.7,108.5,105.1,107.1
天津市,106.9,106.2,106.9,106.7,109.1,110.0,114.0,109.0,111.8,109.9
河北省,110.7,109.7,109.4,110.8,108.1,113.7,110.6,110.7,111.0,111.6
山西省,103.7,111.5,105.0,110.5,112.6,109.6,109.4,105.6,108.7,111.6
内蒙古自治区,105.5,104.6,108.7,109.9,111.7,114.3,111.1,115.0,109.1,118.1
辽宁省,110.1,108.6,108.7,109.5,110.4,114.3,113.4,112.2,116.9,110.1
吉林省,103.4,107.7,105.5,112.6,110.7,110.8,103.9,110.7,108.2,110.9
黑龙江省,105.6,106.8,116.1,109.7,105.8,109.8,112.3,111.1,112.5,111.5
上海市,106.7,106.5,107.3,107.3,106.0,106.5,109.9,105.7,105.9,110.2
江苏省,109.1,110.2,111.9,116.6,114.2,114.0,111.4,113.0,110.0,112.4
浙江省,105.4,106.0,107.3,107.4,106.0,110.7,110.5,112.4,109.1,111.6
安徽省,108.1,107.2,107.0,103.8,106.6,115.3,114.5,110.3,110.9,112.9
福建省,110.9,108.8,107.9,107.1,107.0,106.8,108.1,111.1,108.0,106.7
江西省,108.9,109.3,110.1,110.0,110.5,111.6,111.9,112.3,114.8,108.4
山东省,108.5,109.0,110.1,110.1,110.4,109.6,110.3,110.8,113.3,113.6
河南省,109.0,110.5,108.6,109.6,110.4,112.0,114.1,112.4,114.3,109.1
湖北省,109.7,109.2,110.8,110.6,109.7,121.1,115.2,105.3,113.3,118.9
湖南省,108.0,107.4,109.2,108.1,109.2,109.6,109.1,108.9,109.0,111.4
广东省,105.7,106.8,108.3,106.4,108.3,107.9,109.3,110.9,107.1,112.9
广西壮族自治区,106.3,107.3,107.6,109.1,110.3,108.4,111.0,115.8,110.9,111.8
海南省,106.6,108.5,108.7,108.2,109.3,115.2,111.8,110.1,110.3,109.6
重庆市,110.0,110.6,111.1,112.2,111.9,114.1,114.1,112.4,110.0,115.3
四川省,107.3,108.0,108.4,108.7,112.2,114.4,113.7,112.1,107.1,110.2
贵州省,112.6,109.9,113.1,112.7,109.2,109.9,111.6,114.3,105.7,104.8
云南省,106.8,110.9,107.7,111.7,113.7,116.2,112.7,111.9,110.8,104.8
西藏自治区,108.0,116.1,111.3,116.7,108.6,105.8,112.1,115.1,109.3,110.1
陕西省,107.3,106.5,110.1,110.4,114.1,112.3,111.7,109.7,109.9,110.6
甘肃省,108.8,109.6,110.8,111.7,111.8,120.2,109.3,107.1,105.2,106.3
青海省,109.2,110.1,109.7,111.8,115.2,112.8,107.0,108.6,106.6,110.8
宁夏回族自治区,107.2,112.5,111.7,108.8,109.2,111.1,108.6,106.4,116.2,111.7
新疆维吾尔自治区,110.4,108.4,107.0,103.7,115.9,110.8,118.7,107.6,105.9,110.9
数据来源：国家统计局
