地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,48883,39200,36057,33337,30350,27760,24982,22023,20113,18553
天津市,36257,32595,28492,26261,22984,20624,17852,15200,14150,12034
河北省,14328,12829,12171,11557,10749,9551,8057,7193,6498,5667
山西省,15065,14364,12622,12078,10829,9746,8447,6854,6519,5693
内蒙古自治区,22293,20835,19827,17168,15196,13264,10925,9460,8354,7062
辽宁省,23670,23693,22260,20156,17999,15635,13016,10906,9690,7934
吉林省,13786,14630,13663,13676,12276,10811,9241,8538,7629,6675
黑龙江省,17393,16443,15215,12978,11601,10634,9121,7922,7135,6037
上海市,49617,45816,43007,39223,36893,35439,32271,26582,25167,22889
江苏省,35875,31682,28316,23585,19452,17167,14035,11993,10882,9530
浙江省,30743,28712,26885,24771,22845,21346,18274,15867,14264,12730
安徽省,15466,13941,12944,11618,10978,10055,8237,6829,6006,5276
福建省,23355,20828,19099,17115,16144,14958,13187,11336,10645,8943
江西省,16040,14489,12000,11910,10573,9523,7989,6212,5805,4676
山东省,25860,20684,19184,16728,15095,13524,11606,10494,9673,8142
河南省,16043,14507,13078,11782,10380,9171,7837,6607,5877,5141
湖北省,19391,17429,15762,13912,12283,10873,8977,7791,7399,6513
湖南省,17490,16289,14384,12920,11740,10547,8922,7929,7152,6254
广东省,28495,26365,24582,23739,21823,19578,17211,15243,13911,12336
广西壮族自治区,15013,13857,12944,11710,10519,9181,7920,6968,6152,5114
海南省,18431,17019,12915,11712,10634,9238,7553,6695,6134,5630
重庆市,21032,18860,17262,15423,13655,11832,9723,8494,7637,6453
四川省,16013,14774,13755,12485,11280,9903,8182,6863,6072,5259
贵州省,14666,12876,11362,9541,8372,7389,6218,5456,4880,4263
云南省,14534,13401,12235,11224,9782,8278,6811,5976,5465,4658
西藏自治区,9743,8756,7205,6275,5340,4730,4469,3985,3460,3166
陕西省,16657,15363,14812,13206,11852,10053,8474,7154,6483,5480
甘肃省,13086,11868,10678,9616,8542,7493,6234,5509,4947,4298
青海省,16751,15167,13534,12070,10289,8744,7326,6501,5830,4978
宁夏回族自治区,18570,17210,15193,13537,12120,10937,8992,7918,7108,5743
新疆维吾尔自治区,15247,13684,12435,11401,10675,8895,7400,5945,5521,4831
数据来源：国家统计局
