地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,338.06,368.24,420.07,421.78,395.71,363.14,328.00,314.95,303.90,272.30
天津市,494.44,467.44,441.71,412.36,375.62,349.48,317.30,281.65,268.11,240.74
河北省,6083.86,5978.88,5994.79,5832.94,5340.11,4895.88,4309.40,3640.93,3505.23,3075.77
山西省,1534.03,1522.64,1530.48,1447.01,1304.26,1207.57,1047.80,908.74,595.92,498.39
内蒙古自治区,2794.22,2751.55,2779.81,2699.50,2449.34,2204.51,1843.60,1570.58,1525.74,1276.44
辽宁省,4421.78,4686.71,4498.36,4349.72,4062.43,3633.63,3106.50,2704.58,2476.95,2128.00
吉林省,2724.88,2880.62,2763.01,2670.60,2502.02,2275.15,1850.30,1734.26,1614.80,1359.76
黑龙江省,5197.75,5044.93,4894.80,4633.26,3952.31,3223.51,2536.30,2251.10,2123.43,1700.65
上海市,285.09,302.62,322.22,323.48,321.73,314.58,287.00,283.15,280.35,255.98
江苏省,7235.06,7030.76,6443.37,6158.03,5808.81,5237.45,4297.10,3816.02,3590.64,3064.72
浙江省,3146.06,2933.44,2844.59,2837.39,2658.66,2534.90,2172.90,1873.40,1780.01,1597.15
安徽省,4655.53,4390.80,4223.73,4009.24,3728.30,3459.66,2955.40,2569.46,2446.51,2070.09
福建省,4155.68,3717.87,3522.31,3281.96,3007.40,2730.94,2307.10,2001.24,1965.02,1692.16
江西省,3130.29,2859.10,2726.54,2578.35,2399.26,2207.27,1900.60,1733.82,1680.50,1426.93
山东省,9325.89,9549.63,9198.26,8749.99,7945.76,7409.75,6650.90,6003.09,5612.96,4766.23
河南省,7799.67,7641.27,7549.11,7198.08,6679.04,6218.64,5734.20,4871.51,4669.54,3879.93
湖北省,6278.35,5728.56,5452.84,5160.56,4732.12,4252.90,3502.00,2985.19,2940.47,2296.84
湖南省,6081.92,5630.75,5304.82,5043.58,4904.10,4508.20,3787.50,3207.88,3324.51,2632.19
广东省,6078.43,5520.03,5234.21,4946.81,4656.85,4384.44,3754.90,3337.59,3298.01,2821.24
广西壮族自治区,4591.37,4197.12,3947.73,3755.19,3490.72,3323.37,2721.00,2377.20,2389.79,2026.22
海南省,1470.41,1323.91,1252.18,1144.94,1082.15,1002.35,821.30,705.04,664.98,548.32
重庆市,1968.28,1738.15,1594.96,1513.74,1402.03,1265.33,1021.10,913.11,871.39,720.73
四川省,6831.08,6377.84,5888.09,5620.27,5433.12,4932.73,4081.80,3689.81,3903.40,3377.00
贵州省,3097.19,2738.67,2118.48,1663.02,1436.61,1165.46,997.80,875.20,843.80,697.02
云南省,3633.12,3383.09,3263.35,3056.04,2680.22,2306.49,1810.50,1706.19,1594.51,1331.70
西藏自治区,172.97,149.46,138.72,128.00,118.33,109.37,100.80,93.38,88.45,79.80
陕西省,2985.76,2813.50,2741.82,2562.51,2303.20,2058.60,1666.10,1337.22,1277.86,1002.85
甘肃省,1778.00,1722.09,1618.80,1517.74,1358.16,1187.76,1057.00,876.28,808.10,686.10
青海省,338.80,319.27,327.49,310.30,263.86,230.82,201.30,157.30,153.40,121.25
宁夏回族自治区,493.60,483.02,445.47,430.00,385.15,354.68,305.90,243.50,227.20,182.95
新疆维吾尔自治区,2969.70,2804.42,2744.01,2538.88,2275.67,1955.39,1846.20,1297.61,1176.69,1063.50
注：2003年以后，农林牧渔业总产值包括农林牧渔服务业产值。
数据来源：国家统计局
