地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,145.20,154.48,155.10,170.41,166.29,163.37,154.20,140.44,128.10,115.48
天津市,244.31,238.02,230.74,217.16,195.99,179.87,168.30,139.70,127.67,117.60
河北省,3459.39,3441.37,3453.42,3473.27,3095.29,2775.27,2470.10,1927.78,1760.75,1639.07
山西省,958.11,969.52,984.03,932.14,847.41,767.14,669.00,556.34,366.16,322.65
内蒙古自治区,1415.07,1418.31,1408.44,1328.07,1171.97,1057.85,900.40,731.90,716.61,620.42
辽宁省,1859.55,2068.60,1734.13,1673.86,1539.65,1307.15,1140.30,913.48,896.93,837.50
吉林省,1231.98,1400.38,1342.54,1261.68,1166.58,1020.44,866.90,777.45,749.20,641.50
黑龙江省,2873.86,2911.86,3015.61,2856.34,2315.64,1801.84,1369.20,1206.79,1142.31,971.94
上海市,148.53,162.04,169.51,172.28,171.48,165.07,155.30,147.53,137.52,126.74
江苏省,3714.64,3722.10,3362.81,3167.78,2966.72,2640.95,2269.60,1948.20,1746.83,1542.53
浙江省,1521.19,1434.71,1385.96,1336.79,1229.36,1152.04,1041.30,879.05,813.10,735.92
安徽省,2234.14,2174.61,2119.21,2003.26,1867.64,1714.84,1544.40,1289.79,1197.89,1054.01
福建省,1782.01,1618.59,1529.57,1376.29,1263.71,1136.18,976.60,826.22,763.02,685.30
江西省,1446.89,1326.90,1144.08,1072.80,1003.21,917.82,801.40,729.72,694.32,621.26
山东省,4641.35,4929.85,4765.78,4509.88,3960.62,3843.62,3670.10,3223.99,2895.68,2604.07
河南省,4577.16,4610.71,4491.95,4202.30,3958.95,3599.90,3540.80,2833.27,2561.10,2254.52
湖北省,2921.27,2780.37,2761.67,2678.08,2488.06,2299.30,1921.70,1511.49,1395.76,1152.09
湖南省,3255.11,3043.52,2884.73,2726.75,2651.69,2391.67,2059.60,1596.65,1446.87,1243.15
广东省,3134.44,2793.76,2613.18,2444.70,2229.27,2042.16,1760.20,1551.03,1481.69,1328.70
广西壮族自治区,2347.90,2146.37,1993.98,1868.30,1724.00,1602.48,1339.60,1134.98,1106.74,970.55
海南省,695.64,613.87,568.22,485.40,460.72,401.00,341.70,307.57,274.03,224.17
重庆市,1151.77,1033.68,967.87,909.18,841.81,751.22,623.30,522.84,465.47,401.48
四川省,3710.97,3335.51,3078.61,2903.48,2764.90,2454.26,2069.30,1806.06,1607.55,1316.60
贵州省,1888.64,1772.59,1321.86,997.12,864.86,655.30,587.30,501.52,464.79,392.20
云南省,1943.65,1841.46,1806.30,1639.40,1398.18,1124.72,925.60,850.65,780.90,683.80
西藏自治区,52.23,68.05,63.26,57.92,53.39,49.62,46.10,39.06,43.70,39.49
陕西省,2027.56,1910.71,1870.78,1714.79,1526.28,1360.70,1107.20,823.60,775.85,629.34
甘肃省,1274.71,1252.51,1174.93,1104.47,984.24,848.45,757.60,587.27,529.56,458.73
青海省,155.52,145.00,144.21,138.35,117.09,102.91,92.10,61.31,58.74,49.16
宁夏回族自治区,311.89,310.99,273.96,269.00,240.46,223.61,195.10,146.78,131.14,111.12
新疆维吾尔自治区,2163.11,2005.38,1955.11,1806.11,1675.00,1437.89,1376.90,898.62,784.19,767.00
数据来源：国家统计局
