地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,1546.64,1424.25,1392.61,1311.30,1206.38,1089.39,981.30,826.65,757.15,
天津市,639.03,565.18,545.43,520.67,490.26,458.71,431.50,401.53,376.53,
河北省,1403.14,1320.48,1261.95,1194.67,1125.62,1059.81,988.40,919.54,862.53,
山西省,760.21,714.27,692.03,672.44,648.70,623.77,591.00,563.79,539.42,
内蒙古自治区,655.02,578.96,524.94,496.48,471.95,452.38,430.70,410.83,389.47,
辽宁省,1800.30,1780.16,1769.18,1729.47,1609.24,1556.61,1496.90,1457.40,1406.24,
吉林省,706.83,693.63,676.66,655.19,632.18,617.47,599.50,554.26,525.26,
黑龙江省,1144.14,1118.00,1090.10,1062.06,1012.99,981.02,952.20,920.34,857.79,
上海市,1527.14,1493.80,1457.43,1429.88,1416.90,1382.66,1049.50,1001.10,967.69,
江苏省,2861.53,2779.90,2691.91,2582.11,2427.54,2223.95,2033.00,1883.08,1751.65,
浙江省,2506.94,2504.28,2548.00,2375.40,2183.34,1919.22,1702.20,1527.43,1386.91,
安徽省,892.24,857.51,829.25,811.33,783.76,729.27,669.50,628.15,578.41,
福建省,979.77,883.67,848.28,812.82,756.49,695.09,635.50,585.90,557.23,
江西省,957.30,823.10,783.89,754.18,707.37,653.03,607.60,581.93,550.33,
山东省,2576.39,2477.46,2370.19,2259.56,2063.20,1907.05,1773.00,1661.03,1565.87,
河南省,1848.42,1508.71,1431.64,1349.99,1270.63,1168.38,1079.30,1019.09,972.03,
湖北省,1355.04,1315.51,1266.24,1219.38,1171.39,1113.43,1039.80,982.02,932.33,
湖南省,1186.65,1160.07,1118.89,1091.73,1047.98,988.19,938.90,879.07,829.05,
广东省,5392.43,5086.53,4809.47,4183.04,4034.08,3800.74,3215.20,2716.43,2444.25,
广西壮族自治区,751.91,576.63,557.59,538.37,512.65,483.75,449.30,411.32,368.05,
海南省,224.93,249.85,242.32,231.50,214.16,199.86,180.80,168.08,156.19,
重庆市,952.25,849.29,825.50,773.12,716.86,647.56,584.40,492.84,406.10,
四川省,2157.60,1938.98,1839.69,1720.26,1615.35,1494.24,1300.90,1176.18,1017.86,
贵州省,423.58,392.10,361.45,337.29,309.38,282.06,257.30,235.61,215.89,
云南省,581.80,412.94,397.89,384.32,364.47,342.82,317.40,306.54,293.72,
西藏自治区,21.07,16.23,15.25,14.01,13.31,11.24,9.90,9.23,8.54,
陕西省,790.82,751.71,716.46,684.98,643.49,588.62,550.40,458.84,433.37,
甘肃省,314.97,306.21,298.85,288.40,277.37,262.95,242.50,230.91,220.99,
青海省,132.31,100.07,94.57,90.31,86.01,81.52,74.40,71.35,68.30,
宁夏回族自治区,189.27,157.52,151.42,143.77,131.23,121.41,107.80,89.38,82.56,
新疆维吾尔自治区,624.98,499.45,490.75,476.34,458.76,431.51,393.80,356.91,346.32,
数据来源：国家统计局
