地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,14.97,16.09,15.95,15.58,16.70,16.18,15.97,15.93,16.04,14.90
天津市,17.69,17.48,17.45,17.29,17.29,17.03,16.77,16.64,16.53,16.47
河北省,16.90,17.46,17.28,17.54,17.65,17.89,17.82,17.70,17.91,17.62
山西省,18.13,18.88,18.63,17.73,18.01,17.03,16.44,16.67,16.41,17.30
内蒙古自治区,17.37,18.30,18.17,17.87,17.59,17.63,17.20,17.77,16.93,17.45
辽宁省,16.82,17.12,17.27,17.28,17.17,16.95,16.82,16.83,17.10,16.29
吉林省,17.05,17.74,17.66,17.33,17.20,17.36,17.72,17.67,17.27,18.32
黑龙江省,15.20,16.23,16.19,16.19,16.19,16.16,16.85,17.15,17.33,16.76
上海市,16.11,16.74,17.02,17.14,16.93,16.92,17.03,16.96,16.88,16.51
江苏省,15.34,16.54,16.24,15.48,15.45,15.65,15.88,16.08,16.09,18.14
浙江省,15.26,16.51,16.76,17.02,17.05,17.21,17.13,17.32,17.86,19.08
安徽省,18.44,19.13,18.87,18.78,18.74,18.77,18.44,18.35,18.51,16.41
福建省,15.79,16.99,17.38,17.31,17.20,17.19,17.43,17.07,17.08,16.60
江西省,17.29,18.07,18.05,17.74,17.37,16.85,17.14,16.57,16.34,17.66
山东省,17.98,18.10,17.77,17.31,17.08,17.06,16.94,16.80,16.48,18.30
河南省,18.02,18.42,17.98,17.70,17.64,17.83,17.63,17.79,18.05,17.92
湖北省,16.84,17.53,17.88,17.96,17.76,17.53,17.82,17.51,17.30,17.81
湖南省,17.75,18.99,18.95,18.57,18.64,18.42,18.01,18.07,17.68,17.56
广东省,17.82,18.64,18.94,19.09,18.82,18.88,18.83,18.64,18.68,17.44
广西壮族自治区,17.78,18.11,17.87,17.69,17.80,17.45,17.42,17.40,17.26,16.59
海南省,18.62,19.36,19.26,19.10,19.34,18.80,18.47,18.91,19.33,17.03
重庆市,17.16,17.60,17.39,17.60,17.53,17.43,17.51,17.46,17.43,17.66
四川省,17.84,17.95,18.01,18.33,18.36,18.31,18.05,18.02,18.21,18.11
贵州省,18.02,17.91,17.93,18.15,18.19,17.47,17.27,17.32,17.26,17.16
云南省,18.80,19.11,18.84,18.19,18.50,18.49,17.76,17.07,16.63,16.42
西藏自治区,15.35,14.35,13.93,15.69,16.17,15.51,13.99,15.82,15.92,15.65
陕西省,17.35,17.83,18.17,18.07,18.19,17.92,17.26,17.17,17.01,16.39
甘肃省,17.28,17.94,18.15,18.38,18.99,18.73,18.79,18.51,18.22,18.18
青海省,15.26,15.66,15.36,15.13,14.74,13.98,14.00,13.48,14.77,14.54
宁夏回族自治区,17.07,16.80,17.01,17.30,17.43,18.19,17.46,17.55,17.38,16.98
新疆维吾尔自治区,17.40,18.22,17.72,17.35,16.87,16.65,16.63,16.25,16.40,16.42
注：普通高校生师比中专任教师数包括聘请校外教师。
数据来源：国家统计局
