地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,,9810774,9683640,8941899,,6277348,5136580,4332698,3833068,3175975
天津市,,4775063,5532759,4986021,,3389120,2270774,1803943,1493682,1148940
河北省,,10732988,8926512,8523960,,6844588,5647497,4692123,4171281,3103586
山西省,,7233564,5762332,5716634,,4451667,3529544,2977295,2568476,1948361
内蒙古自治区,,6324669,5735677,5546840,,4463714,3584765,2692816,2185264,1629515
辽宁省,,7101812,7053396,7766499,,6325914,4834720,4143772,3674925,3000631
吉林省,,5022614,4460292,4623684,,3543183,2747077,2375058,2111975,1567665
黑龙江省,,6078141,5276808,5126395,,3859462,3183150,2761967,2649171,2055103
上海市,,8264220,7965263,7640400,,5844327,4407376,3825305,3674055,3261409
江苏省,,18190920,16716834,15765569,,11768474,9234608,7402067,6484818,5259263
浙江省,,12922271,12081380,10890610,,8732600,7336561,5947216,5172415,4401972
安徽省,,9572661,8629778,8594589,,6461027,4488332,3596935,3175813,2441218
福建省,,8100240,7151769,6514206,,4856150,3913350,3255728,2763597,2217201
江西省,,8146382,7394986,6932770,,5036882,3175331,2706434,2217897,1857367
山东省,,17346983,15811214,14995863,,11225099,8029725,6364782,5747058,4755635
河南省,,13678565,13181810,12650584,,9292217,6800265,5869145,4976900,4075505
湖北省,,9035539,7634018,6697669,,4787821,3838175,3407313,2805035,2297161
湖南省,,9540802,8809278,8449160,,5846551,4585048,4031176,3436066,2628646
广东省,,22611396,20220035,18505746,,13592334,10440230,9071029,8013744,6614097
广西壮族自治区,,8467679,7163058,6540555,,4905638,3990786,3051449,2650050,2058340
海南省,,2337554,1992064,1826386,,1370536,1133239,905860,686993,549796
重庆市,,6400963,5538929,5228011,,3832059,2893208,2324549,1813614,1471782
四川省,,13362232,11779275,11225895,,8017200,6816497,6105391,4894707,3478766
贵州省,,8039152,6761067,5954134,,3869567,3139157,2680258,2300188,1670164
云南省,,9039569,7930673,7820920,,5652685,4480463,3723686,2823329,2191078
西藏自治区,,1892997,1507576,1182000,,807466,641638,577399,478394,406063
陕西省,,7754202,7305175,7246693,,5249804,3766663,3410574,2659058,1826039
甘肃省,,5518606,4633088,4265005,,3129282,2648616,2359726,1960155,1347784
青海省,,1906170,1843741,1468671,,1469582,985919,727966,547864,405548
宁夏回族自治区,,1696500,1502629,1385750,,1147144,843802,677505,575667,533091
新疆维吾尔自治区,,6508191,5858129,5504391,,4183426,3256626,2592025,2134971,1543932
数据来源：国家统计局
