地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,52530.38,48457.99,44488.57,40830.04,,,,,,
天津市,34074.46,31291.36,28832.29,26359.20,,,,,,
河北省,19725.42,18118.09,16647.40,15189.64,,,,,,
山西省,19048.88,17853.67,16538.32,15119.72,,,,,,
内蒙古自治区,24126.64,22310.09,20559.34,18692.89,,,,,,
辽宁省,26039.70,24575.58,22820.15,20817.84,,,,,,
吉林省,19966.99,18683.70,17520.39,15998.12,,,,,,
黑龙江省,19838.50,18592.65,17404.39,15903.45,,,,,,
上海市,54305.35,49867.17,45965.83,42173.64,,,,,,
江苏省,32070.10,29538.85,27172.77,24775.54,,,,,,
浙江省,38529.00,35537.09,32657.57,29774.99,,,,,,
安徽省,19998.10,18362.57,16795.52,15154.31,,,,,,
福建省,27607.93,25404.36,23330.85,21217.95,,,,,,
江西省,20109.56,18437.11,16734.17,15099.68,,,,,,
山东省,24685.27,22703.19,20864.21,19008.26,,,,,,
河南省,18443.08,17124.75,15695.18,14203.71,,,,,,
湖北省,21786.64,20025.56,18283.23,16472.46,,,,,,
湖南省,21114.79,19317.49,17621.74,16004.90,,,,,,
广东省,30295.80,27858.86,25684.96,23420.75,,,,,,
广西壮族自治区,18305.08,16873.42,15557.08,14082.30,,,,,,
海南省,20653.44,18978.97,17476.46,15733.28,,,,,,
重庆市,22034.14,20110.11,18351.90,16568.67,,,,,,
四川省,18808.26,17220.96,15749.01,14230.99,,,,,,
贵州省,15121.15,13696.61,12371.06,11083.06,,,,,,
云南省,16719.90,15222.57,13772.21,12577.87,,,,,,
西藏自治区,13639.24,12254.30,10730.22,9740.43,,,,,,
陕西省,18873.74,17394.98,15836.75,14371.55,,,,,,
甘肃省,14670.31,13466.59,12184.71,10954.40,,,,,,
青海省,17301.76,15812.70,14373.98,12947.84,,,,,,
宁夏回族自治区,18832.28,17329.09,15906.78,14565.78,,,,,,
新疆维吾尔自治区,18354.65,16859.11,15096.62,13669.62,,,,,,
注：从2013年起，国家统计局开展了城乡一体化住户收支与生活状况调查，2013年及以后数据来源于此项调查。与2013年前的分城镇和农村住户调查的调查范围、调查方法、指标口径有所不同。
数据来源：国家统计局
