地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,57275.31,52859.17,48531.85,44563.93,,,,,,
天津市,37109.57,34101.35,31506.03,28979.82,,,,,,
河北省,28249.39,26152.16,24141.34,22226.75,,,,,,
山西省,27352.33,25827.72,24069.43,22258.20,,,,,,
内蒙古自治区,32974.95,30594.10,28349.64,26003.62,,,,,,
辽宁省,32876.09,31125.73,29081.75,26696.96,,,,,,
吉林省,26530.42,24900.86,23217.82,21331.08,,,,,,
黑龙江省,25736.43,24202.62,22609.03,20848.40,,,,,,
上海市,57691.67,52961.86,48841.40,44878.32,,,,,,
江苏省,40151.59,37173.48,34346.26,31585.48,,,,,,
浙江省,47237.18,43714.48,40392.72,37079.68,,,,,,
安徽省,29155.98,26935.76,24838.52,22789.34,,,,,,
福建省,36014.26,33275.34,30722.39,28173.90,,,,,,
江西省,28673.28,26500.12,24309.19,22119.66,,,,,,
山东省,34012.08,31545.27,29221.94,26882.39,,,,,,
河南省,27232.92,25575.61,23672.06,21740.67,,,,,,
湖北省,29385.80,27051.47,24852.28,22667.94,,,,,,
湖南省,31283.89,28838.07,26570.16,24351.99,,,,,,
广东省,37684.25,34757.16,32148.11,29537.29,,,,,,
广西壮族自治区,28324.43,26415.87,24669.00,22689.38,,,,,,
海南省,28453.47,26356.42,24486.53,22411.43,,,,,,
重庆市,29609.96,27238.84,25147.23,23058.22,,,,,,
四川省,28335.30,26205.25,24234.41,22227.51,,,,,,
贵州省,26742.61,24579.64,22548.21,20564.93,,,,,,
云南省,28610.57,26373.23,24299.01,22460.02,,,,,,
西藏自治区,27802.39,25456.63,22015.81,20394.46,,,,,,
陕西省,28440.09,26420.21,24365.76,22345.93,,,,,,
甘肃省,25693.49,23767.08,21803.86,19873.44,,,,,,
青海省,26757.41,24542.35,22306.57,20352.38,,,,,,
宁夏回族自治区,27153.01,25186.01,23284.56,21475.73,,,,,,
新疆维吾尔自治区,28463.43,26274.66,23214.03,21091.48,,,,,,
注：从2013年起，国家统计局开展了城乡一体化住户收支与生活状况调查，2013年及以后数据来源于此项调查。与2013年前的分城镇和农村住户调查的调查范围、调查方法、指标口径有所不同。
数据来源：国家统计局
