地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,,11171250,10937374,9998366,,7373843,6134448,5289432,4690166,4077284
天津市,,5605736,6326265,5699615,,4136097,2920970,2381672,2060843,1657108
河北省,,12861641,10861672,10298143,,8447882,7192734,6145261,5584914,4403700
山西省,,8442363,7036233,6918247,,5494903,4508195,3809096,3328404,2649876
内蒙古自治区,,7072130,6393778,6121559,,5040005,4143731,3187733,2625527,2019987
辽宁省,,8781171,8700533,9302062,,7809413,6242615,5349184,4792311,4122455
吉林省,,5975239,5353180,5480347,,4293877,3445611,3006988,2714195,2133095
黑龙江省,,7040039,6278812,6006258,,4838173,4048565,3486163,3386551,2736590
上海市,,10131153,9892212,9069715,,7106255,5582736,4937339,4823026,4318320
江苏省,,22463773,20800931,19862835,,15882132,13146233,11054890,9964272,8513327
浙江省,,17568215,16079755,14490439,,12069078,10625688,8911507,7972834,7058575
安徽省,,11578495,10457811,10413043,,8172010,5990868,4873316,4383732,3451326
福建省,,10028329,8928771,8228012,,6344839,5341118,4479126,3898541,3322233
江西省,,9732898,8930127,8284996,,6307866,4494597,3776516,3333171,2850048
山东省,,20632259,18847752,17796161,,13727939,10395900,8397429,7749148,6802414
河南省,,17411099,16385611,15577127,,11821418,9111164,7633496,6561523,5493997
湖北省,,11435059,9874547,8972278,,6844038,5869164,5194495,4519593,3689008
湖南省,,12223238,11285463,10784551,,7987607,6497608,5660684,5066050,4196365
广东省,,30474906,27356552,24775503,,18846365,15327348,12843085,11661554,10734751
广西壮族自治区,,10111559,8586224,7794191,,5938482,4941416,3873253,3476223,2758915
海南省,,2809962,2413904,2222868,,1732237,1422673,1175474,928981,757981
重庆市,,7971003,6979973,6565622,,5039550,4068437,3309977,2662580,2309734
四川省,,16409562,14508458,13805525,,10244130,8951781,8088479,6578338,5009787
贵州省,,9277347,7700061,6799795,,4510531,3669550,3094113,2709138,2070113
云南省,,10455388,9199396,9006912,,6582935,5336317,4408081,3422932,2757505
西藏自治区,,1919434,1529504,1206744,,826102,662293,597448,494122,420562
陕西省,,9674438,9101672,8926920,,6838342,5143635,4637457,3806168,2855270
甘肃省,,6134547,5181631,4811034,,3608174,3106736,2761110,2310200,1672565
青海省,,2073501,1976886,1569408,,1552462,1062206,785820,608034,458238
宁夏回族自治区,,1963258,1697964,1578935,,1313862,994671,813071,702612,636974
新疆维吾尔自治区,,7132774,6349792,5989856,,4605867,3655998,2959264,2501661,1916673
注：2007年对部分教育经费统计指标进行了修订。“民办学校办学经费”1992-2006年指社会团体和公民个人办学总经费，2007年以后指民办学校中举办者投入。
数据来源：国家统计局
