地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,,1177133,1048953,855343,,851455,808000,757151,677724,689123
天津市,,720132,701025,632387,,594114,553129,505972,486470,448370
河北省,,1941007,1796503,1606017,,1484576,1422726,1250708,1196773,1110183
山西省,,1110169,1182873,1043347,,902811,854277,751428,697025,611628
内蒙古自治区,,593250,594265,515753,,512773,487251,429547,386118,349364
辽宁省,,1591480,1566027,1415382,,1332250,1261638,1030190,1011819,972359
吉林省,,854352,824517,750332,,703764,652271,591920,564682,502890
黑龙江省,,867588,909800,836690,,941146,823012,701669,703262,647487
上海市,,1369331,1291651,1141498,,1006085,901393,824593,835427,809273
江苏省,,3556749,3297872,3168318,,3149370,3117810,2852163,2650610,2438439
浙江省,,3349178,3135300,2780301,,2591357,2486977,2133499,2035378,1911896
安徽省,,1789174,1690402,1638949,,1456867,1305908,1101215,1039294,870219
福建省,,1605187,1527747,1431102,,1286253,1189237,1007403,956422,908022
江西省,,1486283,1416733,1214374,,1056873,1070547,919367,947036,869447
山东省,,2963672,2763550,2562457,,2307705,2161674,1816673,1801350,1757555
河南省,,3260710,2884332,2470745,,2103536,1980533,1555511,1424592,1241162
湖北省,,2132046,2021081,1811299,,1809429,1698149,1515403,1409747,1164047
湖南省,,2345275,2158581,1978319,,1791759,1655954,1402601,1376082,1350044
广东省,,6959578,6183455,5492403,,4655227,4234065,3223522,3088448,3481229
广西壮族自治区,,1459681,1275840,1136774,,925396,847218,739500,719822,595607
海南省,,395760,364206,326227,,279938,234577,213024,182685,168763
重庆市,,1345940,1216958,1088175,,926746,841898,672950,612315,540819
四川省,,2622959,2421188,2272207,,1932562,1850014,1510993,1437698,1332195
贵州省,,923536,782237,678610,,519550,452054,358393,359475,330465
云南省,,1093271,1028195,917660,,767760,671821,563675,500737,461382
西藏自治区,,19124,17887,18183,,17622,18642,15087,15183,14232
陕西省,,1711768,1623769,1474355,,1326983,1241636,1054918,1012482,892350
甘肃省,,532544,491168,490552,,431519,401239,351007,320149,293362
青海省,,106949,83860,70331,,63800,59363,45219,48623,42098
宁夏回族自治区,,189754,169883,145841,,119957,115953,90061,82663,69671
新疆维吾尔自治区,,328608,307517,299414,,301540,313833,299385,305932,293908
数据来源：国家统计局
