地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,,9623,10431,8560,,42608,48389,53682,42640,35123
天津市,,3194,4864,7631,,5531,6218,7210,11329,3112
河北省,,6080,12107,6637,,6392,8285,9451,4971,13471
山西省,,3639,2533,4494,,14323,9295,8154,7935,12391
内蒙古自治区,,4248,3897,4017,,3597,2017,3202,4359,4825
辽宁省,,1018,1223,2074,,5744,1677,2148,2544,1659
吉林省,,2613,3217,5859,,2878,4103,4749,4435,15867
黑龙江省,,400,1665,1368,,869,2739,1285,1303,2138
上海市,,12403,10419,6397,,6331,9541,9402,12762,7882
江苏省,,64808,109974,123770,,179649,169548,148647,147410,158561
浙江省,,37607,51029,56997,,154065,147053,176134,177646,150086
安徽省,,11457,8305,14121,,20122,21938,22546,24493,19953
福建省,,32803,39182,46843,,37395,36973,30471,35439,26495
江西省,,14324,9317,9378,,19066,20595,13475,11370,16783
山东省,,13597,12724,27202,,22969,33420,28233,24128,30038
河南省,,9806,7727,6492,,5735,8250,4947,3850,6879
湖北省,,11208,7625,16042,,20305,16254,15608,13437,13865
湖南省,,19525,19735,14113,,17604,16087,13569,20764,17645
广东省,,131742,93661,108921,,105231,106776,112402,89064,99518
广西壮族自治区,,11744,7569,8998,,7328,10620,13682,10847,11370
海南省,,3470,1570,7920,,15086,13628,7033,24976,15327
重庆市,,13124,24460,17731,,45121,42150,32999,54098,50021
四川省,,58796,37028,33563,,51511,111231,295131,75537,18881
贵州省,,9102,14986,10604,,7811,6827,5667,7625,6991
云南省,,17710,18094,25631,,23784,23499,16917,22611,24169
西藏自治区,,806,699,1567,,683,1155,4640,337,108
陕西省,,5539,5343,7938,,10035,8757,20738,11498,5164
甘肃省,,5766,7557,4858,,7347,18745,26764,10922,5706
青海省,,1581,2580,1057,,3907,2596,2278,1071,2738
宁夏回族自治区,,5518,3464,3663,,1978,4947,21209,23401,2405
新疆维吾尔自治区,,25895,18416,13687,,6880,14596,3897,5303,7085
数据来源：国家统计局
