地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,9.23,11.87,13.20,12.78,12.98,11.52,11.50,10.28,9.79,10.16
天津市,88.97,80.37,79.47,73.20,61.66,58.61,50.30,47.53,43.82,36.13
河北省,210.95,198.72,190.97,178.72,177.74,163.58,142.50,108.38,102.77,85.14
山西省,9.91,9.94,9.82,9.48,8.42,7.52,6.10,5.26,4.23,3.49
内蒙古自治区,33.03,30.75,29.07,29.04,26.08,23.52,15.90,12.71,11.78,10.95
辽宁省,639.64,689.77,699.80,689.30,618.74,560.05,491.00,441.89,374.52,326.10
吉林省,42.99,39.91,40.13,36.74,34.14,31.12,25.30,23.47,22.52,18.80
黑龙江省,129.19,117.56,102.74,82.54,77.92,58.91,53.70,45.18,36.00,25.10
上海市,50.16,51.79,62.50,59.89,57.45,54.72,52.60,53.53,57.11,54.19
江苏省,1621.88,1517.51,1426.74,1351.11,1235.40,1060.44,805.20,719.25,665.75,579.00
浙江省,962.01,855.86,779.36,757.97,687.05,655.75,522.20,435.48,407.82,369.90
安徽省,513.15,475.07,459.70,439.07,384.43,346.23,294.80,257.59,232.33,195.02
福建省,1235.48,1082.31,1025.19,986.28,903.36,782.64,674.20,565.58,549.35,473.29
江西省,458.86,419.99,400.65,370.15,333.06,272.20,255.60,231.18,211.60,182.20
山东省,1485.58,1524.74,1481.75,1397.42,1267.07,999.11,847.40,747.42,686.28,580.35
河南省,128.32,123.61,105.10,93.52,86.40,72.55,71.20,64.94,59.00,44.47
湖北省,1030.01,922.77,844.16,748.40,626.23,508.80,458.60,413.14,372.98,310.83
湖南省,396.66,366.93,338.85,309.89,279.94,255.04,232.70,188.53,169.56,154.70
广东省,1195.63,1117.16,1080.31,975.28,914.04,843.01,741.40,661.23,652.59,541.87
广西壮族自治区,464.25,429.82,413.12,366.66,331.74,303.11,247.20,216.95,206.98,178.32
海南省,353.77,324.87,310.24,275.53,236.27,204.58,173.50,154.51,139.76,121.34
重庆市,85.30,74.91,64.93,53.82,44.99,34.94,27.20,24.27,21.15,18.44
四川省,223.90,210.52,192.35,177.49,163.77,147.16,129.80,119.05,103.68,85.80
贵州省,68.74,55.90,47.01,38.30,28.21,19.90,13.80,11.06,10.49,9.04
云南省,94.24,81.68,78.14,70.41,63.10,55.93,48.10,41.96,28.12,25.40
西藏自治区,0.24,0.17,0.17,0.18,0.22,0.22,0.20,0.20,0.28,0.11
陕西省,26.25,23.61,19.89,17.76,14.61,10.60,8.30,6.50,6.06,4.24
甘肃省,2.17,2.18,2.15,2.01,1.80,1.59,1.20,1.11,1.01,0.87
青海省,3.25,2.78,2.22,1.26,0.56,0.20,0.10,0.07,0.14,0.11
宁夏回族自治区,16.97,15.77,14.93,13.22,13.36,10.24,8.00,7.05,6.04,5.16
新疆维吾尔自治区,22.18,21.77,19.60,17.17,15.26,14.17,12.70,11.14,9.91,7.00
数据来源：国家统计局
