地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,52.21,57.33,90.69,75.89,54.83,18.92,16.80,22.90,20.49,17.78
天津市,8.35,7.74,3.22,3.09,2.79,2.46,2.40,2.22,2.22,2.08
河北省,132.31,121.48,108.14,96.30,77.88,58.78,51.30,70.68,55.89,52.37
山西省,100.31,97.42,98.47,90.07,79.07,73.47,65.00,66.70,20.24,17.59
内蒙古自治区,98.64,99.42,96.44,96.14,97.76,93.16,76.60,78.25,72.72,63.69
辽宁省,143.73,166.12,152.44,136.49,128.68,107.39,82.50,69.98,69.37,60.30
吉林省,107.21,109.82,104.43,98.12,98.10,81.85,68.30,58.91,54.97,48.80
黑龙江省,219.87,204.22,195.71,180.63,134.50,110.24,95.50,85.19,89.64,79.05
上海市,13.20,12.15,8.78,9.65,9.55,7.62,7.50,8.99,9.12,10.05
江苏省,129.33,129.09,118.18,107.30,99.75,92.81,78.10,70.79,64.92,58.88
浙江省,158.15,151.63,147.00,141.54,142.14,134.07,119.40,117.64,106.94,95.47
安徽省,291.08,290.11,283.07,233.07,209.50,182.07,135.30,125.10,114.46,100.50
福建省,315.14,314.28,323.25,293.83,256.45,237.70,189.40,162.20,149.76,120.72
江西省,324.61,293.69,274.18,252.67,228.91,206.11,186.80,161.79,150.77,126.46
山东省,147.48,139.91,131.53,120.30,107.01,99.96,86.50,101.27,102.24,81.98
河南省,121.28,134.28,152.40,152.35,140.85,127.32,115.30,134.09,122.89,104.85
湖北省,203.43,180.60,157.03,122.01,100.05,86.10,65.40,57.67,49.69,41.86
湖南省,321.60,317.38,304.81,287.67,259.97,239.11,207.40,174.18,155.44,144.12
广东省,314.74,296.75,279.83,249.43,222.74,208.68,176.30,88.30,79.41,73.45
广西壮族自治区,323.53,313.90,303.17,287.64,245.26,217.41,173.50,128.96,124.26,99.78
海南省,100.02,99.23,103.18,121.22,137.85,161.44,123.80,79.62,91.62,80.49
重庆市,73.43,60.44,53.56,48.02,43.48,38.09,30.40,34.14,29.34,25.92
四川省,219.09,205.82,195.99,179.43,151.50,130.10,112.90,112.52,87.20,87.20
贵州省,195.00,137.70,99.62,69.87,54.19,46.66,41.00,36.92,35.63,27.77
云南省,330.37,317.12,303.12,293.25,225.83,245.67,184.20,196.13,183.60,156.00
西藏自治区,2.39,2.11,2.64,2.65,2.56,2.39,2.50,7.12,2.80,2.73
陕西省,85.54,75.79,73.57,67.62,58.44,42.30,35.20,45.63,41.47,33.77
甘肃省,30.83,28.65,25.54,22.53,20.07,17.24,18.50,24.24,22.44,19.43
青海省,8.28,7.43,6.61,5.68,4.57,4.17,3.80,2.31,2.05,1.96
宁夏回族自治区,10.11,11.63,10.00,9.84,9.77,9.32,8.70,8.38,7.48,5.69
新疆维吾尔自治区,50.28,53.15,49.39,48.13,43.04,38.08,35.30,26.65,23.18,20.90
数据来源：国家统计局
