地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
天津市,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
河北省,98.88,98.81,94.26,98.35,99.79,99.86,99.07,97.86,97.11,95.26
山西省,97.92,97.31,95.77,96.10,95.18,94.63,89.94,87.30,82.64,79.50
内蒙古自治区,94.90,94.09,92.28,87.93,84.39,82.23,79.26,75.51,74.25,75.60
辽宁省,96.07,94.76,96.19,96.15,96.02,95.46,94.19,93.74,92.38,91.99
吉林省,93.00,92.46,91.98,91.43,89.46,88.28,85.64,85.48,84.82,82.38
黑龙江省,86.66,86.61,86.23,85.58,83.39,81.41,84.67,83.78,79.45,74.45
上海市,100.00,100.00,100.00,100.00,100.00,99.87,100.00,100.00,100.00,100.00
江苏省,99.54,99.56,99.49,99.59,99.43,99.03,99.12,98.39,98.23,97.41
浙江省,99.95,99.91,99.81,99.80,99.49,99.34,99.07,97.93,97.72,97.78
安徽省,98.05,97.55,96.81,96.14,94.61,93.35,90.52,88.62,87.60,83.15
福建省,97.21,98.56,98.83,98.85,98.60,98.67,98.92,98.63,97.23,97.34
江西省,95.31,94.83,95.18,95.10,94.40,94.31,92.36,92.22,90.18,86.18
山东省,99.51,99.37,99.49,99.58,99.48,99.48,99.30,99.17,98.50,97.07
河南省,88.93,86.02,83.76,81.98,77.94,76.19,73.43,72.89,66.91,68.87
湖北省,96.30,94.49,94.71,95.09,95.09,93.89,91.75,91.20,90.90,89.72
湖南省,93.28,92.28,91.24,91.93,91.33,88.45,86.50,85.60,84.26,83.27
广东省,97.43,97.60,96.64,96.89,94.93,91.30,95.75,96.45,93.94,78.96
广西壮族自治区,95.85,94.46,92.99,93.58,93.26,91.08,92.35,92.19,84.04,81.51
海南省,97.34,97.77,96.49,94.59,92.15,93.59,82.44,83.68,72.81,65.37
重庆市,96.11,95.34,94.27,93.09,93.32,93.03,92.02,91.83,90.87,88.40
四川省,91.78,92.46,90.89,89.68,87.96,87.09,84.39,83.38,81.09,78.92
贵州省,85.66,84.06,76.30,74.86,71.35,71.56,69.72,68.49,67.82,62.08
云南省,78.78,76.79,76.18,71.53,66.46,74.21,76.40,77.68,76.10,77.57
西藏自治区,52.99,79.98,57.13,38.62,29.79,83.44,79.83,81.40,74.80,65.10
陕西省,94.66,94.73,95.08,93.75,94.11,92.09,90.39,89.64,89.55,86.17
甘肃省,88.15,85.77,83.48,80.22,77.81,75.62,74.29,73.03,65.32,64.46
青海省,87.55,85.96,88.81,84.76,92.65,92.10,90.79,91.49,94.78,89.41
宁夏回族自治区,90.69,87.26,89.23,89.08,79.67,88.38,88.01,87.13,75.68,74.58
新疆维吾尔自治区,97.89,97.63,96.87,96.37,96.60,96.19,95.80,89.34,88.61,92.77
注：人均和普及率指标按城区人口与暂住人口之和计算，以公安部门的户籍统计和暂住人口统计为准。
数据来源：国家统计局
