地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,122.69,135.86,152.66,154.75,154.16,162.73,139.60,136.08,140.52,122.38
天津市,140.86,130.23,117.59,108.63,105.01,98.52,87.50,83.57,86.03,76.93
河北省,1939.22,1904.12,1952.02,1818.19,1747.66,1674.04,1443.80,1350.10,1410.82,1146.99
山西省,376.17,359.04,354.57,338.82,298.83,295.69,250.80,230.94,185.37,140.18
内蒙古自治区,1202.90,1160.85,1205.65,1208.49,1118.86,998.31,822.40,721.44,699.63,559.65
辽宁省,1575.75,1561.43,1717.48,1675.35,1621.23,1521.07,1270.60,1171.41,1052.45,830.80
吉林省,1252.85,1244.87,1195.02,1198.53,1130.36,1074.49,831.50,825.52,770.21,635.30
黑龙江省,1854.75,1704.81,1486.15,1430.10,1350.68,1189.92,965.80,870.24,813.08,584.96
上海市,62.62,65.61,69.93,69.97,72.59,77.44,62.90,64.61,68.40,58.00
江苏省,1331.55,1262.09,1182.69,1222.22,1226.18,1190.50,923.30,873.97,916.46,704.38
浙江省,434.32,426.18,472.23,546.18,549.04,546.33,448.40,404.88,418.86,367.60
安徽省,1375.68,1258.98,1182.07,1171.36,1119.73,1083.54,865.00,795.82,806.89,637.36
福建省,681.68,571.27,522.89,513.76,481.28,479.20,380.30,366.91,425.68,340.60
江西省,788.61,719.83,814.88,796.44,752.68,734.34,584.10,541.50,556.01,435.58
山东省,2540.82,2523.24,2418.30,2358.99,2285.92,2171.92,1774.50,1683.83,1704.90,1313.00
河南省,2611.33,2445.30,2505.20,2486.28,2255.61,2198.38,1805.90,1654.29,1761.18,1326.09
湖北省,1715.18,1503.34,1427.70,1395.39,1334.04,1205.80,925.00,881.78,1008.65,686.19
湖南省,1762.65,1601.75,1503.21,1467.37,1488.58,1425.60,1118.20,1100.38,1463.40,1013.82
广东省,1221.75,1117.15,1077.37,1106.86,1134.14,1146.42,947.20,917.14,967.91,775.62
广西壮族自治区,1266.37,1140.30,1087.25,1101.23,1072.77,1096.58,870.70,812.46,871.67,710.17
海南省,267.10,238.46,228.00,225.46,214.14,207.15,158.60,142.83,140.39,106.13
重庆市,627.45,542.90,486.36,482.80,453.90,425.33,326.60,319.42,344.15,264.48
四川省,2551.71,2515.58,2318.84,2267.56,2269.86,2127.20,1705.20,1596.72,2036.30,1827.10
贵州省,797.21,665.17,569.29,482.68,421.55,381.95,304.20,281.53,291.65,231.60
云南省,1141.82,1031.02,975.78,962.55,912.97,808.20,588.80,557.76,570.01,438.40
西藏自治区,113.84,75.30,69.34,64.16,59.02,54.11,48.90,44.29,38.96,34.91
陕西省,695.93,665.49,648.27,643.67,598.72,553.40,435.00,387.90,385.26,274.05
甘肃省,299.75,279.42,268.43,253.39,231.72,210.60,181.80,171.89,168.26,131.17
青海省,165.72,158.37,169.14,160.09,137.08,119.34,101.50,90.09,89.15,67.01
宁夏回族自治区,131.71,122.90,126.78,120.01,105.72,97.60,82.10,70.67,73.07,53.28
新疆维吾尔自治区,653.15,649.51,651.20,604.20,485.37,415.00,375.80,318.37,318.23,231.50
数据来源：国家统计局
