地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,7.75,7.95,8.41,9.00,9.38,9.60,10.11,10.27,11.04,11.99
天津市,10.00,10.24,10.62,11.24,11.74,12.23,12.49,12.51,12.73,13.61
河北省,13.61,13.57,13.23,13.28,14.19,14.77,15.37,16.01,16.75,17.35
山西省,11.90,12.81,13.59,14.16,14.72,15.19,15.36,15.66,15.89,16.18
内蒙古自治区,12.89,13.58,14.40,14.94,15.52,15.76,15.81,16.69,17.66,18.78
辽宁省,12.35,12.68,13.34,14.10,14.72,15.50,16.01,16.49,17.02,18.05
吉林省,13.81,14.11,14.66,16.47,17.13,17.38,17.05,16.96,17.79,18.88
黑龙江省,12.99,13.10,13.32,14.03,14.38,14.92,15.15,15.16,15.52,16.25
上海市,8.93,9.09,9.27,9.45,9.51,9.70,10.10,10.51,11.20,12.76
江苏省,10.01,10.25,10.71,11.41,12.43,13.25,13.81,14.42,15.15,15.64
浙江省,11.26,11.65,12.06,12.92,13.58,14.19,14.12,14.14,14.13,14.68
安徽省,14.31,14.87,15.97,17.00,18.01,18.38,19.08,20.44,21.14,22.70
福建省,12.59,12.41,12.35,12.72,13.27,13.55,13.55,13.74,14.25,14.89
江西省,17.20,17.48,17.67,17.62,17.35,16.47,15.78,16.26,16.77,17.25
山东省,12.84,13.51,14.08,14.33,14.28,13.79,13.69,13.99,15.00,16.29
河南省,16.93,17.04,17.11,17.51,17.94,18.17,18.42,19.19,20.18,21.72
湖北省,12.70,13.07,13.49,14.17,15.16,16.37,17.40,18.18,18.83,19.11
湖南省,15.36,15.34,15.44,15.44,15.30,15.01,15.02,15.28,16.46,17.81
广东省,13.02,13.62,14.43,15.23,15.93,16.08,16.71,16.23,16.42,16.67
广西壮族自治区,17.22,17.06,17.33,17.52,17.86,17.96,17.90,18.16,18.55,18.93
海南省,13.28,13.67,14.46,15.65,16.12,17.08,16.89,17.10,17.51,17.55
重庆市,15.21,15.92,16.88,17.54,18.13,18.95,19.45,19.67,19.23,18.61
四川省,15.04,15.59,16.18,16.85,17.54,18.27,18.21,18.62,17.86,17.99
贵州省,16.28,17.42,18.00,18.25,18.59,19.02,18.75,18.51,18.56,18.68
云南省,14.96,15.20,15.53,15.60,15.60,15.38,15.37,15.39,15.54,15.67
西藏自治区,11.41,12.39,12.64,13.72,13.07,13.15,12.84,14.11,17.01,18.39
陕西省,13.63,14.10,14.95,15.79,16.75,17.48,17.72,17.79,18.13,19.36
甘肃省,13.38,14.06,14.95,15.70,16.43,17.03,17.24,17.30,17.40,18.07
青海省,13.48,13.46,14.19,13.64,13.80,13.88,14.27,14.34,14.39,14.79
宁夏回族自治区,14.29,15.26,15.92,16.51,16.17,15.81,16.07,16.44,16.70,17.63
新疆维吾尔自治区,13.10,12.81,12.25,12.78,13.61,13.84,13.86,14.19,14.57,14.78
数据来源：国家统计局
