地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,1517.6,1475.7,1431.3,1354.8,1279.7,1188.0,1063.7,938.4,871.0,783.0
天津市,535.7,522.0,509.6,493.1,479.1,474.5,470.0,444.1,399.1,382.5
河北省,973.7,957.0,944.5,926.3,906.8,875.5,848.0,802.1,738.5,686.3
山西省,660.2,650.5,657.3,646.5,621.1,595.8,562.0,534.6,441.8,405.7
内蒙古自治区,488.8,477.4,470.7,464.5,455.1,438.0,433.5,410.4,373.7,352.7
辽宁省,1635.6,1651.4,1649.2,1624.8,1587.0,1499.4,1408.7,1347.0,1209.3,1087.8
吉林省,576.0,575.9,575.6,574.9,569.5,557.2,550.1,486.4,450.9,427.8
黑龙江省,879.5,873.7,873.9,868.1,867.8,881.0,873.7,851.3,788.3,752.2
上海市,1468.6,1446.4,1420.8,1394.1,1376.0,1342.1,1405.9,1329.6,1171.7,1096.8
江苏省,2490.5,2429.0,2361.8,2274.7,2155.5,2012.4,1848.3,1701.1,1604.3,1435.8
浙江省,2017.5,1992.7,1900.0,1791.1,1671.0,1514.4,1344.4,1173.7,1053.9,855.0
安徽省,782.0,763.3,739.9,716.0,685.2,659.3,598.5,570.2,528.8,486.2
福建省,792.1,759.4,737.3,703.0,666.3,579.3,546.6,503.7,435.7,406.1
江西省,591.6,585.0,579.2,569.9,546.8,535.9,532.1,515.1,503.2,403.4
山东省,1960.0,1904.4,1860.2,1809.7,1734.1,1637.1,1541.3,1428.6,1266.2,1115.9
河南省,1227.3,1200.7,1182.4,1140.2,1082.2,1016.4,957.4,920.1,840.9,781.0
湖北省,961.0,949.4,933.3,922.8,921.2,902.8,847.8,820.4,714.9,644.5
湖南省,829.6,818.8,807.9,799.3,797.6,789.5,777.4,746.4,682.0,620.6
广东省,3814.1,3711.8,3647.1,3473.0,3373.4,3234.3,3000.0,2556.4,2370.7,2022.2
广西壮族自治区,530.7,505.5,482.6,466.6,456.3,437.2,413.5,388.8,361.4,339.3
海南省,201.0,196.3,191.7,220.0,205.2,186.2,166.9,152.7,121.8,107.5
重庆市,604.8,588.5,575.8,539.5,496.5,458.5,406.2,362.5,326.2,284.7
四川省,1440.6,1378.6,1329.4,1282.0,1240.9,1169.1,1051.9,958.5,893.5,815.0
贵州省,389.8,372.7,354.8,344.7,329.3,314.1,293.5,279.5,257.4,228.2
云南省,479.1,468.3,462.6,458.0,452.2,443.4,414.8,397.4,356.8,345.8
西藏自治区,36.8,34.3,33.0,30.6,27.6,24.9,23.5,22.6,20.1,19.2
陕西省,599.6,580.3,574.2,571.7,547.5,540.3,474.2,463.3,432.7,410.1
甘肃省,314.4,307.9,302.6,297.1,293.0,291.1,290.2,272.2,248.9,221.5
青海省,97.9,95.6,93.3,89.7,86.1,82.4,78.7,75.7,72.1,70.1
宁夏回族自治区,117.5,114.8,116.1,108.6,106.6,100.2,94.1,87.0,83.2,78.3
新疆维吾尔自治区,517.7,505.9,498.0,488.0,469.1,446.6,417.7,397.5,376.6,355.1
注：城镇职工基本医疗保险参保人数不分地区合计中，包括中国人民银行、中国农业发展银行数。
数据来源：国家统计局
