地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,1271.25,1187.51,1163.74,1091.30,995.70,888.21,785.90,638.41,577.00,499.85
天津市,430.42,384.25,370.18,352.28,333.36,309.87,287.90,265.00,247.20,225.60
河北省,1011.84,952.03,908.31,859.55,813.33,774.51,728.90,681.55,639.78,585.40
山西省,543.60,512.88,501.13,491.91,479.82,464.91,443.70,427.16,411.42,386.43
内蒙古自治区,418.57,370.83,332.21,323.79,318.99,315.74,311.50,298.05,286.53,274.29
辽宁省,1120.55,1139.71,1167.28,1171.70,1098.85,1070.14,1024.20,1008.01,976.37,891.61
吉林省,420.14,419.95,415.55,406.83,397.59,396.40,392.90,383.16,369.88,353.95
黑龙江省,655.60,646.87,646.69,639.86,611.36,600.99,589.20,586.67,581.84,573.81
上海市,1050.86,1028.44,1005.00,992.43,993.07,976.17,657.30,625.14,609.89,591.96
江苏省,2137.31,2098.80,2054.34,1987.82,1880.57,1740.88,1583.90,1467.67,1373.07,1248.96
浙江省,1843.04,1933.99,2079.22,1976.53,1835.54,1665.80,1478.60,1317.83,1192.10,984.82
安徽省,634.31,610.85,596.90,592.20,578.40,537.75,492.00,458.69,420.28,385.54
福建省,805.72,736.58,708.11,679.64,631.02,576.88,522.00,477.81,454.62,414.71
江西省,672.74,587.86,562.81,547.14,518.26,484.31,462.10,446.02,421.87,356.53
山东省,1968.99,1923.08,1858.68,1800.40,1646.86,1534.00,1427.90,1335.00,1260.82,1174.90
河南省,1398.08,1148.95,1089.33,1024.37,964.59,880.48,809.00,764.55,732.91,688.21
湖北省,897.06,874.91,846.99,823.45,804.09,771.74,738.20,708.39,680.36,651.43
湖南省,823.78,791.08,769.85,762.22,747.62,710.30,673.50,632.93,593.72,556.66
广东省,4867.85,4613.27,4363.60,3761.74,3643.84,3428.19,2875.60,2422.27,2171.23,1969.62
广西壮族自治区,511.24,389.76,377.31,365.77,349.07,332.26,311.20,293.37,273.10,243.30
海南省,158.46,187.87,182.39,174.43,161.63,152.09,135.40,124.86,114.24,101.99
重庆市,605.92,544.41,532.23,497.76,469.89,427.48,391.90,316.33,275.42,232.12
四川省,1379.77,1250.06,1191.62,1124.07,1073.68,998.81,861.90,782.67,711.13,647.99
贵州省,323.94,297.26,274.32,254.68,231.67,210.71,190.30,172.14,156.57,149.39
云南省,413.78,291.15,279.23,268.62,253.76,238.66,225.10,216.32,204.37,191.75
西藏自治区,15.08,12.38,11.59,10.48,9.86,8.03,6.80,6.11,5.48,5.06
陕西省,577.27,544.22,516.14,493.04,466.36,433.11,400.10,327.88,309.00,290.73
甘肃省,200.91,197.01,193.86,188.55,183.62,177.86,171.10,163.37,157.00,147.81
青海省,90.87,69.94,65.74,62.75,59.85,56.36,54.40,52.02,49.67,47.20
宁夏回族自治区,131.47,111.12,107.23,101.83,91.36,84.98,77.30,69.40,63.74,59.29
新疆维吾尔自治区,428.47,344.66,341.63,332.54,319.77,299.59,274.50,256.30,248.75,234.00
数据来源：国家统计局
