地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,191.2,181.0,173.0,160.1,151.9,159.8,,145.5,,
天津市,531.1,532.1,514.0,508.4,502.2,498.3,,161.2,,
河北省,5698.4,706.7,753.1,748.2,737.6,686.6,,619.0,,
山西省,461.0,463.3,443.9,439.7,434.9,409.3,,344.5,,
内蒙古自治区,531.0,530.6,527.4,521.7,512.6,469.3,,394.9,,
辽宁省,740.4,744.8,738.0,708.5,664.9,620.7,,548.6,,
吉林省,804.9,804.7,804.4,803.7,800.5,793.4,,756.4,,
黑龙江省,720.3,721.1,712.5,712.3,712.5,697.0,,693.0,,
上海市,338.0,272.9,257.7,256.4,262.6,249.7,,254.2,,
江苏省,1493.9,1585.3,1435.7,1152.9,1453.4,1488.1,,1329.9,,
浙江省,2975.8,2971.4,2947.5,2330.0,1135.8,729.7,,610.7,,
安徽省,839.6,974.3,1016.5,944.9,974.8,953.6,,865.6,,
福建省,505.8,541.9,555.7,580.8,596.6,637.8,,633.5,,
江西省,1215.4,945.5,915.0,906.7,891.8,793.8,,785.3,,
山东省,7228.8,7331.4,2127.8,1838.2,1367.1,1310.7,,1111.6,,
河南省,1133.4,1144.2,1157.6,1157.0,1140.0,1105.8,,1050.0,,
湖北省,1020.8,1022.7,1034.7,1037.8,1039.1,1029.7,,991.3,,
湖南省,1816.6,1843.6,1492.8,1516.9,1544.3,1151.7,,1085.5,,
广东省,6336.1,6424.2,6157.1,5706.8,5048.4,3532.8,,2012.1,,
广西壮族自治区,565.7,572.1,584.7,564.4,555.3,544.1,,461.2,,
海南省,186.2,193.4,195.2,186.6,173.2,166.1,,131.0,,
重庆市,2654.5,2677.8,2681.1,2695.3,2722.6,866.3,,407.0,,
四川省,3616.2,1272.1,1247.1,1204.0,1142.9,1079.3,,954.2,,
贵州省,583.8,582.7,332.4,327.4,319.0,314.9,,287.5,,
云南省,684.5,672.5,673.3,660.8,430.2,422.4,,365.0,,
西藏自治区,28.5,27.5,25.9,24.3,22.6,18.7,,13.5,,
陕西省,648.4,667.0,671.9,672.5,571.3,550.2,,426.8,,
甘肃省,328.9,327.0,328.1,325.7,323.6,299.8,,285.2,,
青海省,98.8,99.6,97.1,91.6,86.2,69.2,,29.1,,
宁夏回族自治区,476.6,470.0,462.5,456.9,455.2,88.5,,99.0,,
新疆维吾尔自治区,405.5,385.2,387.1,389.1,382.9,378.5,,357.4,,
数据来源：国家统计局
