地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,6406.77,5737.70,4524.67,4173.66,3685.31,3245.23,2717.32,2319.37,1959.29,1649.50
天津市,3699.43,3232.35,2884.70,2549.21,2143.21,1796.33,1376.84,1124.28,867.72,674.33
河北省,6049.53,5632.19,4677.30,4409.58,4079.44,3537.39,2820.24,2347.59,1881.67,1506.65
山西省,3428.86,3422.97,3085.28,3030.13,2759.46,2363.85,1931.36,1561.70,1315.02,1049.92
内蒙古自治区,4512.71,4252.96,3879.98,3686.52,3425.99,2989.21,2273.50,1926.84,1454.57,1082.31
辽宁省,4577.47,4481.61,5080.49,5197.42,4558.59,3905.85,3195.82,2682.39,2153.43,1764.28
吉林省,3586.09,3217.10,2913.25,2744.81,2471.20,2201.74,1787.25,1479.21,1180.12,883.76
黑龙江省,4227.34,4020.66,3434.22,3369.18,3171.52,2794.08,2253.27,1877.74,1542.30,1187.27
上海市,6918.94,6191.56,4923.44,4528.61,4184.02,3914.88,3302.89,2989.65,2593.92,2181.68
江苏省,9981.96,9687.58,8472.45,7798.47,7027.67,6221.72,4914.06,4017.36,3247.49,2553.72
浙江省,6974.26,6645.98,5159.57,4730.47,4161.88,3842.59,3207.88,2653.35,2208.58,1806.79
安徽省,5522.95,5239.01,4664.10,4349.69,3961.01,3302.99,2587.61,2141.92,1647.13,1243.83
福建省,4275.40,4001.58,3306.70,3068.80,2607.50,2198.18,1695.09,1411.82,1137.72,910.64
江西省,4617.40,4412.55,3882.70,3470.30,3019.22,2534.60,1923.26,1562.37,1210.07,905.06
山东省,8755.21,8250.01,7177.31,6688.80,5904.52,5002.07,4145.03,3267.67,2704.66,2261.85
河南省,7453.74,6799.35,6028.69,5582.31,5006.40,4248.82,3416.14,2905.76,2281.61,1870.61
湖北省,6422.98,6132.84,4934.15,4371.65,3759.79,3214.74,2501.40,2090.92,1650.28,1277.33
湖南省,6339.16,5728.72,5017.38,4690.89,4119.00,3520.76,2702.48,2210.44,1765.22,1357.03
广东省,13446.09,12827.80,9152.64,8411.00,7387.86,6712.40,5421.54,4334.37,3778.57,3159.57
广西壮族自治区,4441.70,4065.51,3479.79,3208.67,2985.23,2545.28,2007.59,1621.82,1297.11,985.94
海南省,1376.48,1239.43,1099.74,1011.17,911.67,778.80,581.34,486.06,357.97,245.20
重庆市,4001.81,3792.00,3304.39,3062.28,3046.36,2570.24,1709.04,1292.09,1016.01,768.39
四川省,8008.89,7497.51,6796.61,6220.91,5450.99,4674.92,4257.98,3590.72,2948.83,1759.13
贵州省,4262.36,3939.50,3542.80,3082.66,2755.68,2249.40,1631.48,1372.27,1053.79,795.40
云南省,5018.86,4712.83,4437.98,4096.51,3572.66,2929.60,2285.72,1952.34,1470.24,1135.22
西藏自治区,1587.98,1381.46,1185.51,1014.31,905.34,758.11,551.04,470.13,380.66,275.37
陕西省,4389.37,4376.06,3962.50,3665.07,3323.80,2930.81,2218.83,1841.64,1428.52,1053.97
甘肃省,3150.03,2958.31,2541.49,2309.62,2059.56,1791.24,1468.58,1246.28,968.43,675.34
青海省,1524.80,1515.16,1347.43,1228.05,1159.05,967.47,743.40,486.75,363.60,282.20
宁夏回族自治区,1254.54,1138.49,1000.45,922.48,864.36,705.91,557.53,432.36,324.61,241.85
新疆维吾尔自治区,4138.25,3804.87,3317.79,3067.12,2720.07,2284.49,1698.91,1346.91,1059.36,795.15
注：地方财政支出均为本级支出，2000年以前不包括国内外债务还本付息支出和利用国外借款收入安排的基本建设支出。
数据来源：国家统计局
