地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,1708.8,1656.6,1604.3,1514.9,1431.6,1347.8,,1083.9,,
天津市,1066.8,1054.1,1023.6,1001.5,981.3,972.8,,605.3,,
河北省,6672.1,1663.7,1697.5,1674.5,1644.4,1562.2,,1421.1,,
山西省,1121.2,1113.8,1101.2,1086.3,1055.9,1005.1,,879.0,,
内蒙古自治区,1019.8,1008.1,998.1,986.2,967.7,907.3,,805.3,,
辽宁省,2376.0,2396.2,2387.2,2333.3,2251.9,2120.1,,1895.6,,
吉林省,1380.9,1380.6,1380.0,1378.6,1370.0,1350.6,,1242.8,,
黑龙江省,1599.9,1594.8,1586.4,1580.4,1580.3,1578.0,,1544.3,,
上海市,1806.7,1719.2,1678.5,1650.5,1638.6,1591.8,,1583.8,,
江苏省,3984.4,4014.3,3797.5,3427.6,3608.8,3500.5,,3031.0,,
浙江省,4993.3,4964.1,4847.6,4121.1,2806.8,2244.1,,1784.4,,
安徽省,1621.5,1737.6,1756.4,1660.8,1660.0,1612.9,,1435.8,,
福建省,1297.9,1301.2,1293.0,1283.8,1262.9,1217.2,,1137.2,,
江西省,1807.0,1530.4,1494.2,1476.6,1438.6,1329.7,,1300.4,,
山东省,9188.8,9235.8,3988.0,3647.9,3101.2,2947.8,,2540.2,,
河南省,2360.7,2344.9,2340.0,2297.2,2222.2,2122.3,,1970.1,,
湖北省,1981.8,1972.1,1968.0,1960.6,1960.3,1932.5,,1811.7,,
湖南省,2646.1,2662.3,2300.7,2316.2,2341.9,1941.2,,1831.9,,
广东省,10150.2,10136.0,9804.2,9179.8,8421.8,6767.1,,4568.5,,
广西壮族自治区,1096.4,1077.6,1067.3,1031.0,1011.5,981.3,,850.0,,
海南省,387.2,389.8,386.8,406.5,378.5,352.4,,283.8,,
重庆市,3259.3,3266.3,3256.8,3234.8,3219.1,1324.8,,769.5,,
四川省,5056.8,2650.7,2576.5,2486.0,2383.8,2248.4,,1912.7,,
贵州省,973.6,955.5,687.1,672.1,648.3,629.0,,567.0,,
云南省,1163.6,1140.8,1135.9,1118.8,882.4,865.8,,762.5,,
西藏自治区,65.4,61.8,58.9,54.8,50.1,43.7,,36.0,,
陕西省,1248.0,1247.3,1246.2,1244.3,1118.8,1090.4,,890.0,,
甘肃省,643.3,635.0,630.6,622.8,616.5,590.8,,557.4,,
青海省,196.7,195.2,190.4,181.3,172.3,151.6,,104.8,,
宁夏回族自治区,594.0,584.8,578.6,565.5,561.8,188.8,,186.0,,
新疆维吾尔自治区,923.2,891.0,885.1,877.1,851.9,825.2,,755.0,,
数据来源：国家统计局
