地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,8.02,8.62,9.44,9.75,9.83,9.90,10.24,10.48,10.83,11.18
天津市,9.63,9.92,10.21,10.04,9.85,10.13,10.56,10.84,11.54,12.21
河北省,13.59,13.58,13.45,12.67,12.95,12.47,12.45,12.99,14.16,15.21
山西省,9.92,9.96,10.52,11.00,12.71,13.77,14.37,14.40,14.82,15.37
内蒙古自治区,10.73,10.82,11.02,11.12,12.01,12.65,12.73,12.96,13.44,14.19
辽宁省,9.89,10.25,10.68,10.64,11.22,11.79,12.64,13.39,14.18,14.44
吉林省,9.34,9.20,9.30,9.65,10.41,11.20,12.19,12.78,13.58,13.93
黑龙江省,9.99,9.59,9.60,9.60,12.04,12.17,12.73,13.03,13.44,13.99
上海市,10.85,10.98,11.49,12.11,12.29,12.48,12.51,12.67,12.83,12.80
江苏省,11.04,10.77,10.60,10.50,10.81,11.41,12.50,13.61,14.83,15.74
浙江省,12.34,12.30,12.59,12.58,12.56,12.96,13.87,14.77,15.73,15.74
安徽省,12.79,12.60,12.40,12.63,13.23,15.46,17.10,18.50,19.79,20.74
福建省,11.69,11.57,11.49,11.43,11.59,11.83,12.84,14.23,15.32,15.85
江西省,15.08,14.61,14.42,14.44,15.85,16.36,16.61,16.05,15.41,15.10
山东省,11.79,11.74,11.87,12.08,12.54,13.11,13.37,13.15,13.07,13.07
河南省,14.52,14.16,14.09,13.75,16.07,16.58,16.97,17.06,17.53,18.05
湖北省,10.95,10.40,10.30,10.94,11.16,13.23,13.91,14.71,15.95,17.05
湖南省,13.29,13.22,12.97,12.68,12.33,12.48,12.45,12.31,12.34,12.56
广东省,12.61,12.88,13.53,14.63,16.18,17.87,18.77,19.63,20.13,20.26
广西壮族自治区,16.10,16.50,16.56,16.68,16.74,16.84,16.88,17.47,18.04,18.84
海南省,12.51,12.79,13.33,13.73,14.54,15.63,16.82,18.01,19.24,20.50
重庆市,12.82,12.71,12.94,13.36,14.29,15.51,16.63,17.37,18.22,18.29
四川省,12.34,12.39,12.86,13.41,14.92,16.09,16.82,17.57,18.60,19.05
贵州省,14.88,16.01,17.29,18.23,18.31,19.23,19.51,19.58,19.53,19.75
云南省,14.81,15.29,15.49,15.38,16.18,17.21,17.32,17.65,18.17,18.34
西藏自治区,11.96,12.10,13.08,13.92,14.50,14.95,15.66,16.31,17.15,17.91
陕西省,10.31,10.23,10.40,10.88,11.68,12.98,14.10,15.39,16.61,17.48
甘肃省,10.64,10.84,11.44,12.28,13.99,15.22,16.64,17.54,17.88,18.67
青海省,12.86,13.21,13.81,13.34,14.06,15.18,15.32,15.58,15.15,15.96
宁夏回族自治区,13.92,14.16,14.59,14.68,15.11,15.90,16.50,16.37,17.84,17.61
新疆维吾尔自治区,10.54,10.58,10.47,10.67,10.98,11.46,11.98,12.62,13.31,13.90
数据来源：国家统计局
