地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,,163034,183820,189180,,199539,134950,140694,123286,168441
天津市,,104735,84668,72795,,147094,89685,60761,66267,56051
河北省,,151742,85618,111267,,90267,99629,163491,201283,144991
山西省,,70421,62010,105451,,74732,89033,51425,29761,32097
内蒙古自治区,,132793,46829,45496,,49442,64943,59889,38349,24613
辽宁省,,66018,49815,98894,,114645,103975,152832,77287,134803
吉林省,,76321,50170,65646,,37350,34472,31108,26409,39323
黑龙江省,,74347,84179,39425,,33855,22614,12666,21401,22148
上海市,,479458,622557,280686,,244297,256843,273448,295967,236390
江苏省,,606180,639766,733987,,734106,609676,631443,649883,628184
浙江省,,1078748,731420,726676,,570246,621325,643766,566775,578064
安徽省,,134011,92965,118515,,176095,111627,104342,84313,93080
福建省,,202040,118872,157540,,84190,101038,99983,91966,86478
江西省,,57183,73862,101576,,105383,162524,122580,142749,83115
山东省,,240429,215444,153030,,131174,141521,162228,153555,242616
河南省,,252983,151596,250007,,288633,222495,143903,116292,142839
湖北省,,155609,177676,350709,,208256,285491,213904,252555,173008
湖南省,,228081,225473,279523,,278126,207319,192810,197987,170725
广东省,,443676,610369,349298,,318634,329549,295858,351128,360662
广西壮族自治区,,143645,110658,90314,,68374,69037,58256,60817,71048
海南省,,52678,36504,36865,,33519,25802,28182,27741,18580
重庆市,,143918,171934,199557,,211154,229775,229126,169313,239425
四川省,,167262,138309,143853,,126162,103596,137121,109290,93655
贵州省,,215451,114311,131051,,94842,55652,42007,33446,53730
云南省,,242391,186276,209556,,120533,142904,86375,71424,62839
西藏自治区,,6307,2781,1045,,130,180,294,102,92
陕西省,,182774,132138,171614,,238604,112116,120772,104133,82860
甘肃省,,71565,43086,46509,,35468,30183,21251,17730,23456
青海省,,53989,44648,25531,,13836,12843,9661,9904,6586
宁夏回族自治区,,55463,15975,37455,,40535,20850,23689,18820,29664
新疆维吾尔自治区,,267143,163676,170950,,112410,68678,63059,54579,70403
数据来源：国家统计局
