地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,15266,12950,7353,5675,5699,5380,5723,3623,2493,2766
天津市,3503,4232,2950,2956,2779,2493,2358,1527,1164,1357
河北省,7817,7187,3593,3140,2587,2160,2269,1633,1010,1326
山西省,1119,1551,1243,1525,1210,824,917,657,300,420
内蒙古自治区,994,968,665,793,621,483,558,554,322,405
辽宁省,2858,2907,2118,2244,2398,2428,2669,1620,893,1360
吉林省,1388,1000,729,809,875,725,752,625,405,458
黑龙江省,1994,2417,1922,5146,8161,4428,877,725,499,556
上海市,10043,9891,8170,8177,10586,15449,19527,15758,8237,11504
江苏省,72254,94762,79551,124609,175758,135358,90011,60025,24901,16606
浙江省,71136,87173,75664,84973,92066,65025,60616,49832,29684,23748
安徽省,6918,6765,6448,8605,13064,14527,6062,3573,1345,1093
福建省,17862,21805,13418,12418,9812,7215,7175,5519,3486,4102
江西省,11619,9114,5161,3134,2359,1783,1350,1014,557,577
山东省,12621,12444,8725,9125,8959,9545,10993,9013,6058,6030
河南省,10137,9790,6334,5156,4929,3765,3993,3666,3148,1918
湖北省,6096,5717,3634,5053,4549,4728,4906,3594,1490,1330
湖南省,8631,8832,6510,5574,6585,4726,4092,2339,1491,1514
广东省,102249,102445,74475,72843,65499,58769,61752,44828,29355,31101
广西壮族自治区,3164,2465,1593,1545,1576,1204,1054,870,583,500
海南省,385,496,369,191,198,159,219,216,96,102
重庆市,7266,9506,6106,5845,4506,4911,4233,3393,1523,2140
四川省,20282,24428,17378,16875,18093,12643,17284,11975,6988,5087
贵州省,1864,5607,3853,3223,2269,905,709,528,275,374
云南省,1844,2142,1263,1170,1096,976,1145,1109,600,754
西藏自治区,58,107,49,30,35,95,59,245,40,42
陕西省,23868,10387,2530,2767,1732,1565,2054,1299,656,662
甘肃省,1592,1196,747,747,614,295,388,238,161,189
青海省,203,323,152,126,208,321,89,244,105,110
宁夏回族自治区,170,156,133,128,157,92,713,591,292,64
新疆维吾尔自治区,1378,2762,783,1214,601,366,361,486,311,409
数据来源：国家统计局
