地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,40602,35308,23237,20695,20140,15880,11209,9157,6478,4824
天津市,5185,4624,3279,3141,3326,2528,1930,1889,1610,1164
河北省,4247,3840,2286,2008,1933,1469,954,691,549,462
山西省,2411,2432,1559,1332,1297,1114,739,603,420,307
内蒙古自治区,871,797,458,549,569,364,262,178,140,120
辽宁省,6731,6569,3975,3830,3973,3164,2357,1993,1516,1220
吉林省,2428,2240,1434,1496,1583,1202,785,719,574,454
黑龙江省,4345,4024,2454,2238,2418,1953,1512,1142,740,668
上海市,20086,17601,11614,10644,11379,9160,6867,5997,4258,3259
江苏省,40952,36015,19671,16790,16242,11043,7210,5322,3508,2220
浙江省,26576,23345,13372,11139,11571,9135,6410,4818,3269,2213
安徽省,15292,11180,5184,4241,3066,2026,1111,795,489,317
福建省,7170,5730,3426,2941,2977,1945,1224,824,530,336
江西省,1914,1639,1033,923,892,679,411,386,218,176
山东省,19404,16881,10538,8913,7453,5856,4106,2865,1845,1435
河南省,6811,5384,3493,3173,3182,2462,1498,1129,668,563
湖北省,8517,7766,4855,4052,4050,3160,2025,1478,1152,886
湖南省,6967,6776,4160,3613,3353,2606,1920,1752,1196,735
广东省,38626,33477,22276,20084,22153,18242,13691,11355,7604,3714
广西壮族自治区,5159,4017,1933,1295,902,634,426,326,204,188
海南省,383,417,380,449,396,272,190,84,47,51
重庆市,5044,3964,2321,2360,2426,1865,1143,834,532,354
四川省,10350,9105,5682,4566,4460,3270,2204,1596,1086,825
贵州省,2036,1501,1047,776,635,596,441,322,270,233
云南省,2125,2079,1423,1312,1301,1006,652,476,383,368
西藏自治区,33,40,50,44,57,27,16,7,16,4
陕西省,7503,6812,4885,4133,4018,3139,1887,1342,962,755
甘肃省,1308,1238,812,785,704,552,349,227,211,180
青海省,271,207,110,91,101,70,41,35,23,28
宁夏回族自治区,560,442,243,184,140,103,61,52,48,32
新疆维吾尔自治区,910,950,605,540,456,302,189,120,82,90
数据来源：国家统计局
