地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,44710,45773,44071,36301,24672,19628,16579,10141,8776,7364
天津市,31046,28486,20122,18759,13677,8961,6718,3988,4016,3063
河北省,19762,19103,14253,13038,10795,7490,6838,4515,3937,3570
山西省,6532,6037,5569,5708,4689,3036,3096,1967,1559,1265
内蒙古自治区,3981,3757,2908,2494,1894,1415,1276,762,866,788
辽宁省,15515,15706,13432,15582,14852,13584,12067,8585,8256,7035
吉林省,6179,5638,4533,3914,3472,2993,2806,1931,2005,1943
黑龙江省,11707,12502,11036,12435,9689,5855,4391,3212,3335,3079
上海市,34101,33131,30704,29859,29543,23351,21821,13158,11973,9718
江苏省,117827,119513,100810,98246,77944,53413,41161,21939,16029,12944
浙江省,123744,124465,99508,106238,84826,56030,47617,25295,20000,16108
安徽省,38773,41094,36748,36003,27191,16128,8839,4226,2512,2003
福建省,42110,34086,21013,22152,17708,12697,9664,4939,3921,3323
江西省,17939,13408,7637,5913,4734,3088,2588,1515,1520,1316
山东省,66068,68776,53555,58938,59084,43443,36391,22635,18785,15356
河南省,32197,32592,23539,21153,18680,13032,11048,6630,5317,4517
湖北省,27209,25298,19801,19655,15876,11147,10431,6285,5732,4400
湖南省,18452,18467,15967,15205,13274,8732,7861,4218,3446,3438
广东省,118157,105254,83202,77503,65946,51402,43900,27438,25072,21636
广西壮族自治区,6535,7091,6138,5044,3422,2564,2167,1506,1441,1219
海南省,1171,1148,848,691,499,334,305,330,198,143
重庆市,30428,25444,15885,16623,13432,8749,6704,3274,2765,2500
四川省,31813,31420,24060,24730,19665,12533,12724,6561,5295,4023
贵州省,6525,7007,5207,3916,3155,1885,1936,1234,1183,1120
云南省,8063,7437,5438,4322,3456,2217,2026,1338,1038,1017
西藏自治区,154,51,47,47,41,20,49,40,37,22
陕西省,17084,16151,15405,13936,9158,6958,6093,3446,2774,2034
甘肃省,5075,4478,3538,3205,2344,1536,1131,809,675,656
青海省,883,687,357,285,218,147,134,89,100,84
宁夏回族自治区,1947,1267,1048,899,547,418,307,267,266,200
新疆维吾尔自治区,4828,5049,3850,3244,2382,1974,2012,1260,1100,1035
数据来源：国家统计局
