地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,100578,94031,74661,62671,50511,40888,33511,22921,17747,14954
天津市,39734,37342,26351,24856,19782,13982,11006,7404,6790,5584
河北省,31826,30130,20132,18186,15315,11119,10061,6839,5496,5358
山西省,10062,10020,8371,8565,7196,4974,4752,3227,2279,1992
内蒙古自治区,5846,5522,4031,3836,3084,2262,2096,1494,1328,1313
辽宁省,25104,25182,19525,21656,21223,19176,17093,12198,10665,9615
吉林省,9995,8878,6696,6219,5930,4920,4343,3275,2984,2855
黑龙江省,18046,18943,15412,19819,20268,12236,6780,5079,4574,4303
上海市,64230,60623,50488,48680,51508,47960,48215,34913,24468,24481
江苏省,231033,250290,200032,239645,269944,199814,138382,87286,44438,31770
浙江省,221456,234983,188544,202350,188463,130190,114643,79945,52953,42069
安徽省,60983,59039,48380,48849,43321,32681,16012,8594,4346,3413
福建省,67142,61621,37857,37511,30497,21857,18063,11282,7937,7761
江西省,31472,24161,13831,9970,7985,5550,4349,2915,2295,2069
山东省,98093,98101,72818,76976,75496,58844,51490,34513,26688,22821
河南省,49145,47766,33366,29482,26791,19259,16539,11425,9133,6998
湖北省,41822,38781,28290,28760,24475,19035,17362,11357,8374,6616
湖南省,34050,34075,26637,24392,23212,16064,13873,8309,6133,5687
广东省,259032,241176,179953,170430,153598,128413,119343,83621,62031,56451
广西壮族自治区,14858,13573,9664,7884,5900,4402,3647,2702,2228,1907
海南省,1939,2061,1597,1331,1093,765,714,630,341,296
重庆市,42738,38914,24312,24828,20364,15525,12080,7501,4820,4994
四川省,62445,64953,47120,46171,42218,28446,32212,20132,13369,9935
贵州省,10425,14115,10107,7915,6059,3386,3086,2084,1728,1727
云南省,12032,11658,8124,6804,5853,4199,3823,2923,2021,2139
西藏自治区,245,198,146,121,133,142,124,292,93,68
陕西省,48455,33350,22820,20836,14908,11662,10034,6087,4392,3451
甘肃省,7975,6912,5097,4737,3662,2383,1868,1274,1047,1025
青海省,1357,1217,619,502,527,538,264,368,228,222
宁夏回族自治区,2677,1865,1424,1211,844,613,1081,910,606,296
新疆维吾尔自治区,7116,8761,5238,4998,3439,2642,2562,1866,1493,1534
数据来源：国家统计局
