地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,118198,106497,99995,94648,87475,81658,73856,66940,64491,60096
天津市,115053,107960,105231,100105,93173,85213,72994,62574,58656,47970
河北省,43062,40255,39984,38909,36584,33969,28668,24581,22986,19662
山西省,35532,34919,35070,34984,33628,31357,26283,21522,21506,17805
内蒙古自治区,72064,71101,71046,67836,63886,57974,47347,39735,34869,26521
辽宁省,50791,65354,65201,61996,56649,50760,42355,35149,31739,26057
吉林省,53868,51086,50160,47428,43415,38460,31599,26595,23521,19383
黑龙江省,40432,39462,39226,37697,35711,32819,27076,22447,21740,18580
上海市,116562,103796,97370,90993,85373,82560,76074,69165,66932,62041
江苏省,96887,87995,81874,75354,68347,62290,52840,44253,40014,33837
浙江省,84916,77644,73002,68805,63374,59249,51711,43842,41405,36676
安徽省,39561,35997,34425,32001,28792,25659,20888,16408,14448,12039
福建省,74707,67966,63472,58145,52763,47377,40025,33437,29755,25582
江西省,40400,36724,34674,31930,28800,26150,21253,17335,15900,13322
山东省,68733,64168,60879,56885,51768,47335,41106,35894,32936,27604
河南省,42575,39123,37072,34211,31499,28661,24446,20597,19181,16012
湖北省,55665,50654,47145,42826,38572,34197,27906,22677,19858,16386
湖南省,46382,42754,40271,36943,33480,29880,24719,20428,18147,14869
广东省,74016,67503,63469,58833,54095,50807,44736,39436,37638,33272
广西壮族自治区,38027,35190,33090,30741,27952,25326,20219,16045,14652,12277
海南省,44347,40818,38924,35663,32377,28898,23831,19254,17691,14923
重庆市,58502,52321,47850,43223,38914,34500,27596,22920,20490,16629
四川省,40003,36775,35128,32617,29608,26133,21182,17339,15495,12963
贵州省,33246,29847,26437,23151,19710,16413,13119,10971,9855,7878
云南省,31093,28806,27264,25322,22195,19265,15752,13539,12570,10609
西藏自治区,35184,31999,29252,26326,22936,20077,17027,15008,13588,12083
陕西省,51015,47626,46929,43117,38564,33464,27133,21947,19700,15546
甘肃省,27643,26165,26433,24539,21978,19595,16113,13269,12421,10614
青海省,43531,41252,39671,36875,33181,29522,24115,19454,18421,14507
宁夏回族自治区,47194,43805,41834,39613,36394,33043,26860,21777,19609,15142
新疆维吾尔自治区,40564,40036,40648,37553,33796,30087,25034,19942,19797,16999
数据来源：国家统计局
