地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,2.87,2.88,2.92,3.05,3.24,3.36,3.54,4.04,3.88,3.86
天津市,1.44,1.52,1.53,1.80,1.84,2.00,2.01,2.32,2.23,2.11
河北省,3.15,3.72,3.92,4.07,4.18,4.23,4.22,3.54,3.46,3.83
山西省,3.14,2.93,2.98,3.19,3.09,3.14,3.32,3.33,4.06,4.17
内蒙古自治区,4.69,4.76,4.67,4.85,5.08,5.11,4.73,5.19,5.72,6.04
辽宁省,2.40,2.22,2.35,2.37,2.46,2.67,2.99,3.31,3.81,3.90
吉林省,3.14,3.11,3.23,3.51,3.67,3.91,4.53,5.40,5.27,5.05
黑龙江省,4.28,4.66,5.13,4.74,5.14,5.33,6.56,7.65,7.79,7.81
上海市,2.57,2.57,2.54,2.58,2.66,2.46,2.62,2.93,1.94,2.89
江苏省,3.86,3.82,3.75,3.62,3.59,3.79,3.75,3.94,3.88,3.68
浙江省,3.50,3.78,3.96,3.98,4.18,4.20,4.01,4.43,3.84,3.80
安徽省,2.25,2.16,2.23,2.26,2.32,2.45,2.55,2.42,2.60,2.44
福建省,2.15,2.70,2.74,2.79,2.69,2.83,2.64,1.84,2.06,1.62
江西省,1.90,1.80,2.01,1.98,2.25,2.35,2.17,2.51,2.51,2.29
山东省,2.04,2.03,2.00,1.95,1.99,2.03,2.05,2.02,2.13,2.03
河南省,3.25,3.04,3.01,3.05,3.12,3.33,3.32,3.55,3.31,3.27
湖北省,2.64,2.78,2.73,2.59,2.59,2.85,2.91,2.41,2.53,2.63
湖南省,2.32,2.26,2.31,2.32,2.34,2.19,2.35,2.43,2.47,2.43
广东省,1.95,1.90,1.89,1.95,2.06,2.02,2.06,2.06,1.93,1.42
广西壮族自治区,1.38,1.43,2.15,2.29,2.33,2.32,1.76,1.90,1.73,2.09
海南省,2.44,1.57,1.83,1.86,1.92,1.73,1.73,1.46,1.36,1.61
重庆市,2.43,2.40,2.29,1.85,1.78,1.76,1.55,2.40,2.10,2.38
四川省,2.18,2.14,2.17,2.90,2.89,2.82,2.93,2.92,2.64,2.44
贵州省,2.01,2.24,2.17,2.06,2.09,2.05,2.21,2.23,2.20,2.05
云南省,3.46,2.94,2.87,3.14,2.79,2.19,2.26,2.22,2.13,1.52
西藏自治区,2.69,4.19,4.51,4.62,0.77,3.38,4.16,4.65,4.66,5.84
陕西省,4.47,4.58,4.30,3.81,3.48,3.52,3.13,2.92,3.09,2.72
甘肃省,2.58,2.39,2.50,2.41,2.36,2.34,2.17,2.17,2.13,1.90
青海省,3.74,3.73,4.04,3.98,4.32,4.65,4.65,4.82,4.88,4.87
宁夏回族自治区,2.62,2.63,2.51,2.54,2.30,3.23,4.18,2.12,4.13,4.06
新疆维吾尔自治区,3.28,3.44,3.36,3.16,3.22,3.26,3.23,3.09,4.32,4.71
数据来源：国家统计局
