地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,53.86,51.40,51.03,49.18,48.41,73.96,73.50,,69.91,
天津市,42.15,41.17,40.12,39.22,37.87,49.40,49.30,,47.27,
河北省,48.26,46.07,43.73,41.39,39.01,36.28,34.20,,29.98,
山西省,51.52,50.00,48.64,47.56,45.78,44.90,44.90,,37.12,
内蒙古自治区,55.25,53.32,51.50,48.07,44.50,40.81,38.10,,33.28,
辽宁省,64.96,60.92,58.19,55.09,52.60,50.72,48.00,,43.09,
吉林省,55.32,52.48,51.23,48.43,46.45,44.47,42.20,,36.65,
黑龙江省,57.92,55.77,52.53,49.33,46.48,43.10,41.60,,35.40,
上海市,53.37,50.85,48.44,47.33,46.12,75.48,74.40,,69.98,
江苏省,55.39,51.86,49.28,46.39,42.06,39.44,36.10,,32.01,
浙江省,51.86,49.20,44.62,41.84,38.94,40.73,38.80,,34.32,
安徽省,45.47,43.53,41.43,39.13,37.13,29.65,27.50,,23.69,
福建省,45.11,45.07,43.30,41.37,37.17,34.98,32.00,,25.47,
江西省,45.54,43.33,41.11,38.54,36.35,28.53,26.60,,22.94,
山东省,54.39,52.74,51.14,50.32,48.87,43.39,40.10,,34.06,
河南省,54.72,51.65,48.68,45.66,41.88,32.01,30.30,,25.49,
湖北省,61.27,58.64,54.59,49.69,43.78,36.34,32.60,,27.44,
湖南省,62.41,58.52,52.77,46.94,43.23,36.12,33.00,,27.03,
广东省,42.29,40.16,37.84,35.55,33.54,37.63,35.20,,30.30,
广西壮族自治区,46.40,44.72,42.41,39.67,36.03,28.32,27.00,,23.03,
海南省,43.97,42.49,38.17,35.85,34.17,31.36,29.00,,25.31,
重庆市,62.61,58.53,53.69,49.64,44.42,34.72,31.40,,25.16,
四川省,62.84,59.58,56.46,52.63,48.31,36.95,33.50,,27.36,
贵州省,59.15,55.65,51.94,47.61,39.96,27.73,25.10,,20.59,
云南省,53.15,50.11,47.71,44.84,41.78,38.01,34.70,,28.88,
西藏自治区,43.67,43.25,37.51,35.26,27.15,31.73,30.10,,30.99,
陕西省,59.11,55.86,52.81,49.19,45.09,39.36,36.70,,32.82,
甘肃省,51.47,49.14,47.25,44.95,43.56,34.78,33.30,,28.60,
青海省,58.60,58.71,56.62,51.11,45.39,41.46,37.20,,32.63,
宁夏回族自治区,53.80,50.61,49.10,47.59,42.90,39.60,36.80,,33.45,
新疆维吾尔自治区,65.43,63.68,62.21,60.65,58.91,56.93,53.70,,46.47,
数据来源：国家统计局
