地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,86.36,84.31,84.59,81.45,79.41,76.23,,,,
天津市,63.12,66.32,64.20,61.60,57.24,52.26,,,,
河北省,80.40,84.16,92.08,87.17,82.63,77.85,,,,
山西省,94.42,91.85,87.59,84.92,81.26,75.75,,,,
内蒙古自治区,102.20,97.04,91.51,92.95,86.45,72.53,,,,
辽宁省,99.53,91.54,87.33,69.94,79.67,74.95,,,,
吉林省,94.26,93.26,87.45,134.32,72.48,68.44,,,,
黑龙江省,103.35,99.33,91.81,84.30,78.45,74.56,,,,
上海市,91.09,86.82,83.40,81.45,78.56,76.78,,,,
江苏省,84.11,84.78,75.69,74.41,65.38,53.23,,,,
浙江省,85.80,89.94,80.47,72.24,71.61,66.11,,,,
安徽省,63.99,63.80,60.78,56.51,50.28,50.44,,,,
福建省,69.43,70.57,73.89,72.07,65.29,59.57,,,,
江西省,85.12,80.79,77.15,70.46,67.97,56.22,,,,
山东省,79.55,77.05,73.02,70.72,64.69,58.95,,,,
河南省,98.86,93.65,89.03,84.39,79.64,70.32,,,,
湖北省,88.05,86.39,79.74,72.31,70.31,60.49,,,,
湖南省,114.05,106.85,101.77,86.89,79.01,72.77,,,,
广东省,76.68,76.21,74.87,77.08,68.91,62.42,,,,
广西壮族自治区,58.57,58.47,53.03,50.61,47.41,44.07,,,,
海南省,90.48,86.31,61.35,61.88,58.39,53.33,,,,
重庆市,68.70,63.69,57.15,45.83,40.86,37.81,,,,
四川省,76.18,77.90,72.63,68.19,61.72,52.61,,,,
贵州省,118.84,111.64,100.62,69.62,69.57,62.43,,,,
云南省,106.19,102.31,95.26,89.00,86.88,79.72,,,,
西藏自治区,106.47,109.41,105.60,103.17,63.91,92.73,,,,
陕西省,80.29,80.16,74.27,68.51,63.71,58.85,,,,
甘肃省,72.48,68.35,65.39,62.45,64.70,51.34,,,,
青海省,161.87,163.26,150.11,140.17,,113.41,,,,
宁夏回族自治区,78.79,77.04,79.09,76.57,67.94,59.20,,,,
新疆维吾尔自治区,112.73,128.46,124.20,99.21,124.80,89.36,,,,
数据来源：国家统计局
