地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,,36.82,37.40,34.66,36.15,35.14,,,,
天津市,61.50,40.10,40.10,38.18,37.75,36.39,,,,
河北省,36.09,34.32,31.69,30.39,28.76,27.31,,,,
山西省,37.90,36.85,35.90,34.91,34.03,32.96,,,,
内蒙古自治区,39.39,38.41,37.53,33.79,31.25,29.06,,,,
辽宁省,40.73,39.36,37.85,42.16,33.78,31.29,,,,
吉林省,40.10,36.89,37.10,30.49,35.41,33.22,,,,
黑龙江省,36.17,34.55,32.80,30.83,29.13,25.99,,,,
上海市,46.98,46.45,45.20,46.99,44.82,49.92,,,,
江苏省,40.65,36.98,37.28,34.89,33.13,31.43,,,,
浙江省,42.46,38.46,35.69,34.45,31.79,28.98,,,,
安徽省,29.78,28.14,26.84,25.21,24.39,21.75,,,,
福建省,35.81,36.09,33.64,32.64,29.60,26.33,,,,
江西省,31.75,30.56,29.06,28.01,26.04,21.98,,,,
山东省,42.77,42.12,41.85,42.67,43.12,36.95,,,,
河南省,33.74,31.94,30.32,28.60,26.21,23.10,,,,
湖北省,45.19,42.84,40.25,35.77,28.57,25.23,,,,
湖南省,45.26,42.94,37.69,33.86,31.17,27.54,,,,
广东省,28.51,26.72,25.65,22.82,22.95,21.64,,,,
广西壮族自治区,32.86,31.60,31.06,28.87,25.77,22.88,,,,
海南省,28.15,28.18,29.72,26.79,25.64,24.31,,,,
重庆市,44.92,41.93,38.98,41.71,37.15,31.95,,,,
四川省,48.13,44.26,41.58,38.75,36.01,31.25,,,,
贵州省,36.88,35.56,34.42,32.63,27.39,22.48,,,,
云南省,45.21,43.05,41.16,38.68,35.69,31.56,,,,
西藏自治区,30.14,32.53,32.13,30.02,24.49,27.69,,,,
陕西省,43.70,40.35,38.89,35.78,32.72,29.56,,,,
甘肃省,38.23,37.20,36.01,34.10,31.44,27.91,,,,
青海省,39.40,39.90,38.76,34.45,28.58,27.43,,,,
宁夏回族自治区,33.34,29.61,26.37,25.38,23.93,24.40,,,,
新疆维吾尔自治区,61.81,59.38,56.66,55.01,49.65,50.20,,,,
数据来源：国家统计局
