地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,16.01,16.00,15.94,12.72,11.87,11.33,11.28,12.11,8.56,8.57
天津市,10.59,10.13,9.73,10.97,10.54,10.30,8.56,8.59,,
河北省,14.31,14.18,14.45,14.05,14.00,14.26,14.23,11.19,9.49,8.40
山西省,11.86,11.61,11.30,11.18,10.82,10.17,9.36,8.21,7.64,7.13
内蒙古自治区,19.77,19.28,18.80,16.90,15.52,14.47,12.36,11.65,11.10,10.63
辽宁省,11.33,11.52,11.61,11.06,10.89,10.56,10.21,9.76,9.37,9.03
吉林省,13.37,12.51,12.05,11.78,10.96,10.53,10.27,9.82,9.20,8.27
黑龙江省,11.91,11.98,12.10,12.11,11.75,11.47,11.27,10.47,9.46,8.24
上海市,7.83,7.62,7.33,7.10,7.08,7.01,6.97,8.02,7.82,7.48
江苏省,14.79,14.55,14.41,14.01,13.63,13.34,13.29,13.21,13.11,12.59
浙江省,13.17,13.19,12.90,12.44,12.47,11.77,11.05,10.76,9.60,8.79
安徽省,14.02,13.37,13.20,12.47,11.92,11.88,10.95,10.23,9.29,8.72
福建省,13.08,12.98,12.76,12.57,12.10,11.72,10.99,10.51,10.42,8.64
江西省,14.16,13.96,14.13,14.12,14.10,13.49,13.04,11.48,10.60,8.73
山东省,17.91,17.36,17.10,16.81,16.37,16.00,15.84,15.09,14.20,13.33
河南省,10.43,10.16,9.93,9.58,9.23,8.90,8.65,8.72,8.20,8.92
湖北省,10.99,11.01,11.10,10.83,10.50,10.11,9.62,9.58,9.40,9.29
湖南省,10.57,9.99,9.85,8.99,8.83,8.81,8.89,8.47,7.96,7.63
广东省,17.87,17.40,16.28,15.94,15.82,14.35,13.29,12.27,11.46,9.22
广西壮族自治区,11.77,11.60,11.19,11.48,11.42,11.02,9.83,9.60,8.61,8.56
海南省,12.02,12.96,13.01,12.47,12.01,12.51,11.22,9.96,9.00,10.12
重庆市,16.86,16.99,16.97,18.04,18.13,17.87,13.24,11.25,9.62,7.61
四川省,12.47,11.96,11.26,11.21,10.79,10.73,10.19,9.49,8.74,8.37
贵州省,14.98,12.94,12.50,11.41,9.38,7.26,7.33,6.13,6.16,5.89
云南省,11.33,10.57,11.00,10.56,10.43,10.26,9.30,8.89,7.62,7.44
西藏自治区,7.84,11.65,10.80,9.04,9.40,10.73,5.78,7.62,5.64,6.90
陕西省,12.30,12.57,12.48,11.77,11.58,11.41,10.67,9.34,8.71,8.00
甘肃省,13.94,12.23,12.79,11.76,9.52,8.32,8.12,7.99,7.87,6.83
青海省,10.78,10.48,10.78,9.66,9.81,9.65,8.53,8.13,8.53,8.47
宁夏回族自治区,18.30,18.11,17.91,17.51,15.71,16.03,16.18,14.96,11.00,10.42
新疆维吾尔自治区,12.22,11.50,10.74,10.08,10.00,9.48,8.61,8.46,7.91,8.09
数据来源：国家统计局
