地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,24.31,24.58,24.84,24.39,23.43,22.38,14.24,24.75,24.67,21.56
天津市,18.09,16.30,18.14,18.99,17.34,15.19,12.05,15.38,14.33,12.72
河北省,13.68,12.94,11.34,12.62,11.29,10.44,9.53,9.02,9.79,8.98
山西省,9.42,8.53,8.85,9.90,8.47,7.87,6.83,7.09,6.85,6.62
内蒙古自治区,10.26,9.10,9.01,8.57,7.05,7.20,6.89,7.50,7.50,6.90
辽宁省,12.91,12.30,11.79,11.19,11.11,11.03,9.35,10.34,10.58,10.02
吉林省,10.26,10.62,10.32,10.21,9.75,9.31,9.75,9.56,9.27,8.68
黑龙江省,13.58,13.11,12.78,12.62,11.26,11.14,10.00,10.14,9.71,8.96
上海市,12.70,12.36,11.97,12.11,11.91,11.79,8.82,12.76,12.51,12.41
江苏省,16.57,15.81,15.08,14.15,13.36,13.21,10.91,13.24,12.41,11.55
浙江省,16.27,15.99,15.46,14.64,13.96,13.55,11.87,13.70,13.24,11.34
安徽省,11.95,11.39,11.60,10.99,10.14,9.74,7.73,8.61,9.18,8.67
福建省,15.26,14.44,13.33,12.65,12.16,11.86,10.32,11.51,10.42,9.52
江西省,8.86,8.69,8.56,9.15,10.01,9.78,7.61,9.22,10.23,9.37
山东省,15.88,14.43,13.17,13.54,12.76,12.41,10.18,10.34,12.19,11.42
河南省,10.88,10.14,9.75,9.07,8.60,8.68,7.58,8.15,7.98,7.80
湖北省,12.76,11.84,11.91,11.56,11.25,11.17,9.47,11.02,11.89,11.88
湖南省,15.13,13.64,12.46,10.80,10.38,10.36,10.01,10.59,10.89,10.62
广东省,14.20,13.52,13.28,13.08,13.42,12.90,9.53,10.43,9.79,7.90
广西壮族自治区,9.77,9.10,9.19,9.42,9.18,8.90,8.07,9.94,8.43,8.13
海南省,11.35,11.25,11.97,11.48,11.60,10.76,8.61,7.77,7.40,6.80
重庆市,10.70,11.03,11.18,11.57,9.00,8.80,7.23,7.85,9.56,9.64
四川省,12.90,13.52,14.22,14.59,13.34,12.60,9.65,11.18,11.06,9.64
贵州省,11.36,11.27,10.61,9.60,8.80,8.70,8.46,8.28,8.28,8.04
云南省,13.17,12.62,12.36,11.61,10.25,10.06,9.74,9.80,11.01,10.81
西藏自治区,6.20,9.05,8.43,7.70,8.59,9.02,20.91,12.60,12.76,16.73
陕西省,16.01,15.51,15.85,16.27,15.58,15.59,12.64,13.36,12.13,10.99
甘肃省,9.16,9.00,9.67,10.36,10.04,9.76,8.10,8.20,8.11,7.64
青海省,14.49,13.25,14.40,14.47,16.60,16.94,18.30,17.62,17.66,18.73
宁夏回族自治区,13.47,13.97,13.17,13.19,12.46,11.24,10.63,10.06,9.36,8.13
新疆维吾尔自治区,15.24,16.08,15.54,14.35,13.91,13.46,11.66,12.22,13.23,15.60
数据来源：国家统计局
