地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,,10685,10529,3384,,2894,6529,5208,13447,8623
天津市,,2613,2948,782,,239,1163,3786,3094,635
河北省,,29824,40933,50262,,22060,14598,29487,10606,31470
山西省,,24571,26485,48321,,51370,26046,20794,25208,45399
内蒙古自治区,,17170,13110,9453,,10480,4755,2280,11436,11670
辽宁省,,20844,30073,19214,,30860,40605,20242,25737,13004
吉林省,,19338,14983,34827,,6702,7690,4153,6694,7350
黑龙江省,,19563,6359,2380,,2843,17051,8576,11413,9713
上海市,,5741,2322,735,,5215,7583,4592,4816,3366
江苏省,,45116,36485,71191,,50534,14591,20570,31551,28881
浙江省,,180411,80627,35855,,20810,33772,10892,20620,16557
安徽省,,71192,36362,46870,,57900,63061,48279,59819,26856
福建省,,88059,91201,78321,,80851,100520,85542,51117,84037
江西省,,28726,35229,26897,,89662,65600,14660,14119,23337
山东省,,67579,44820,57610,,40992,29561,25512,23057,16569
河南省,,209034,160146,199298,,131298,99621,59991,39889,27612
湖北省,,100658,34146,96561,,18227,31095,42268,38820,40928
湖南省,,89554,72395,63437,,53567,33200,20528,35152,29305
广东省,,328514,249031,319136,,174940,216728,140275,119170,179245
广西壮族自治区,,28810,29098,17551,,31747,23755,10366,34687,22550
海南省,,20501,19559,25470,,33157,15426,21374,6587,5515
重庆市,,67058,27691,32148,,24470,61406,50352,13242,7688
四川省,,198313,132658,130007,,116697,70443,39844,61106,86289
贵州省,,90105,27461,25396,,18762,15861,7787,8405,8763
云南省,,62448,36157,33144,,18172,17631,17428,4831,18037
西藏自治区,,200,562,3950,,201,678,29,107,67
陕西省,,20156,35246,26321,,12917,14464,30455,18999,48857
甘肃省,,6066,6733,4111,,4558,7953,2361,1245,2256
青海省,,4812,2057,3819,,1338,1485,697,572,1267
宁夏回族自治区,,16023,6015,6226,,4249,9119,605,2061,2145
新疆维吾尔自治区,,2937,2054,1413,,1611,2266,898,876,1345
数据来源：国家统计局
