地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,14.05,14.35,14.44,14.36,13.70,13.38,13.20,13.14,13.54,13.83
天津市,15.19,14.98,14.71,14.42,14.09,13.84,13.56,13.37,13.54,13.28
河北省,17.66,17.59,16.92,17.13,17.74,17.09,16.04,15.21,15.02,14.73
山西省,13.24,13.12,12.70,12.72,14.20,14.68,15.28,15.73,16.62,17.14
内蒙古自治区,13.47,12.91,12.09,11.85,12.09,12.36,12.60,13.00,13.48,13.75
辽宁省,14.16,14.28,14.07,14.33,14.72,14.91,14.85,15.07,15.67,15.96
吉林省,11.53,11.63,11.26,11.83,11.94,11.81,11.60,11.39,11.62,11.69
黑龙江省,12.05,11.74,11.29,11.28,12.95,12.69,12.42,12.28,12.59,12.84
上海市,14.79,15.27,15.60,15.92,15.82,15.81,15.51,15.16,14.42,13.87
江苏省,18.06,17.98,17.45,16.86,16.74,16.38,15.98,15.55,16.02,16.61
浙江省,17.75,18.33,18.62,19.05,19.32,19.73,19.39,19.11,19.80,20.26
安徽省,17.90,17.73,17.45,17.18,16.76,18.23,18.74,19.59,20.73,21.57
福建省,18.00,17.74,17.30,16.82,16.42,15.84,15.25,15.29,15.41,16.05
江西省,19.29,19.56,19.64,19.70,21.13,21.25,21.00,20.98,21.41,21.08
山东省,16.91,17.02,16.67,16.16,16.41,16.67,16.24,16.07,16.32,16.40
河南省,19.08,18.71,18.80,19.01,21.72,22.04,21.83,21.51,21.36,21.09
湖北省,17.13,16.78,16.12,16.70,17.04,19.37,18.64,18.13,17.92,18.07
湖南省,19.78,19.62,19.10,19.00,19.19,19.59,19.16,18.74,18.32,17.79
广东省,18.60,18.54,18.31,18.47,18.69,19.01,19.70,21.22,22.96,24.55
广西壮族自治区,19.41,19.83,19.87,19.77,19.64,19.50,19.53,19.78,20.40,20.96
海南省,16.18,15.54,14.99,14.67,14.68,14.84,14.99,15.93,17.24,18.79
重庆市,17.05,17.44,17.48,17.27,17.04,16.95,17.23,17.72,18.83,19.90
四川省,17.48,17.59,17.43,17.21,18.39,18.98,19.37,20.13,21.09,22.75
贵州省,17.93,17.90,17.96,18.43,19.20,20.74,21.90,22.94,23.49,24.29
云南省,16.59,16.80,16.94,17.03,17.40,18.06,18.32,19.00,19.89,20.36
西藏自治区,14.37,13.99,14.56,15.65,15.49,15.45,15.84,16.33,17.24,18.00
陕西省,15.48,14.93,14.21,13.96,14.06,14.83,14.90,15.22,15.84,16.70
甘肃省,12.91,12.84,12.83,13.30,14.71,15.57,16.89,18.05,19.03,20.75
青海省,17.34,17.15,18.28,17.60,19.10,19.77,19.52,19.90,19.70,19.46
宁夏回族自治区,17.09,17.28,17.65,17.70,17.98,19.32,19.68,20.07,20.98,21.23
新疆维吾尔自治区,14.75,14.15,13.39,13.48,13.96,14.20,14.45,14.70,15.15,15.41
数据来源：国家统计局
