地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,275.39,236.74,228.86,220.00,210.68,201.18,195.50,188.24,180.15,171.17
天津市,208.61,180.93,175.26,168.39,156.90,148.84,143.60,136.53,129.33,119.16
河北省,391.30,368.45,353.64,335.12,312.29,285.31,259.50,237.98,222.75,210.21
山西省,216.61,201.39,190.90,180.54,168.87,158.86,147.30,136.63,128.00,120.24
内蒙古自治区,236.45,208.12,192.73,172.69,152.96,136.64,119.20,112.78,102.95,96.61
辽宁省,679.75,640.45,601.90,557.77,510.40,486.48,472.70,449.38,429.87,408.12
吉林省,286.69,273.68,261.10,248.36,234.59,221.06,206.60,171.10,155.39,147.77
黑龙江省,488.54,471.13,443.41,422.21,401.64,380.04,363.00,333.66,275.95,253.03
上海市,476.28,465.37,452.43,437.45,423.82,406.49,392.20,375.96,357.80,340.47
江苏省,724.23,681.10,637.57,594.30,546.97,483.06,449.10,415.41,378.58,353.33
浙江省,663.90,570.29,468.79,398.87,347.80,253.42,223.60,209.60,194.80,182.28
安徽省,257.93,246.66,232.34,219.12,205.36,191.52,177.50,169.46,158.14,144.78
福建省,174.05,147.09,140.17,133.18,125.48,118.22,113.50,108.09,102.60,98.13
江西省,284.56,235.24,221.08,207.05,189.12,168.72,145.50,135.91,128.46,118.50
山东省,607.40,554.38,511.51,459.16,416.33,373.05,345.10,326.03,305.05,282.17
河南省,450.34,359.75,342.30,325.62,306.04,287.90,270.30,254.53,239.12,224.69
湖北省,457.98,440.60,419.25,395.93,367.29,341.69,301.60,273.63,251.96,235.34
湖南省,362.88,368.99,349.04,329.51,300.36,277.89,265.40,246.14,235.33,227.32
广东省,524.58,473.25,445.86,421.30,390.25,372.55,339.60,294.16,273.02,257.17
广西壮族自治区,240.67,186.87,180.28,172.60,163.58,151.49,138.10,117.95,94.95,82.15
海南省,66.47,61.98,59.94,57.07,52.53,47.77,45.40,43.22,41.95,39.75
重庆市,346.33,304.88,293.28,275.36,246.97,220.07,192.50,176.51,130.69,112.66
四川省,777.83,688.92,648.08,596.19,541.67,495.44,439.00,393.51,306.73,269.40
贵州省,99.64,94.83,87.14,82.61,77.71,71.35,67.00,63.47,59.32,56.54
云南省,168.02,121.80,118.67,115.70,110.71,104.16,92.30,90.23,89.35,87.61
西藏自治区,5.98,3.85,3.66,3.53,3.45,3.20,3.20,3.12,3.06,3.05
陕西省,213.56,207.49,200.32,191.95,177.13,155.51,150.30,130.96,124.37,117.36
甘肃省,114.05,109.20,104.99,99.85,93.75,85.09,71.30,67.54,63.99,60.64
青海省,41.44,30.13,28.83,27.55,26.16,25.15,20.00,19.32,18.63,17.97
宁夏回族自治区,57.80,46.40,44.19,41.94,39.87,36.43,30.50,19.98,18.81,17.73
新疆维吾尔自治区,196.51,154.79,149.13,143.80,138.99,131.93,119.20,100.62,97.57,93.70
数据来源：国家统计局
