地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,1880,1877,1858,1825,1784,1740,1686,1581,1504,1416
天津市,1295,1278,1248,1207,1152,1090,1034,958,908,851
河北省,3983,3811,3642,3528,3411,3302,3201,3077,2928,2795
山西省,2070,2016,1962,1908,1851,1785,1717,1576,1539,1494
内蒙古自治区,1542,1514,1491,1466,1438,1405,1372,1313,1264,1218
辽宁省,2949,2952,2944,2917,2881,2807,2717,2620,2591,2544
吉林省,1530,1523,1509,1491,1477,1468,1465,1461,1455,1451
黑龙江省,2249,2241,2224,2201,2182,2166,2134,2123,2119,2061
上海市,2127,2116,2173,2164,2126,2096,2056,1958,1897,1830
江苏省,5417,5306,5191,5090,4990,4889,4767,4343,4215,4109
浙江省,3745,3645,3573,3519,3461,3403,3356,3055,3002,2949
安徽省,3221,3103,2990,2886,2784,2674,2562,2581,2485,2368
福建省,2464,2403,2352,2293,2234,2161,2109,2020,1929,1857
江西省,2438,2357,2281,2210,2140,2051,1966,1914,1820,1739
山东省,5871,5614,5385,5232,5078,4910,4765,4576,4483,4379
河南省,4623,4441,4265,4123,3991,3809,3621,3577,3397,3214
湖北省,3419,3327,3238,3161,3092,2984,2847,2631,2581,2525
湖南省,3599,3452,3320,3209,3097,2975,2845,2767,2689,2571
广东省,7611,7454,7292,7212,7140,6986,6910,6423,6269,6099
广西壮族自治区,2326,2257,2187,2115,2038,1942,1844,1904,1838,1728
海南省,521,502,486,472,457,443,433,425,410,399
重庆市,1908,1838,1783,1733,1678,1606,1529,1475,1419,1360
四川省,4066,3912,3769,3640,3516,3367,3232,3168,3044,2893
贵州省,1570,1483,1404,1325,1269,1213,1176,1057,1047,1026
云南省,2148,2055,1967,1897,1831,1704,1597,1554,1499,1426
西藏自治区,98,90,82,74,70,69,68,66,64,62
陕西省,2110,2045,1985,1931,1877,1770,1709,1621,1565,1506
甘肃省,1166,1123,1080,1036,999,953,925,891,856,822
青海省,306,296,290,280,272,263,252,234,226,221
宁夏回族自治区,380,369,355,340,328,319,303,288,278,269
新疆维吾尔自治区,1159,1115,1059,1007,982,962,940,860,845,820
注：2000、2001年人口为当年人口普查推算数，其余年份人口为年度人口抽样调查推算数据，2005年起各地区人口数据为常住人口口径。
数据来源：国家统计局
