地区,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年
北京市,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
天津市,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
河北省,99.52,99.56,99.29,99.85,99.96,100.00,99.97,99.97,99.97,99.97
山西省,99.29,98.85,98.54,98.14,97.64,97.48,97.26,95.38,93.27,92.96
内蒙古自治区,98.98,98.47,97.79,96.23,94.43,91.39,87.97,87.89,82.03,81.45
辽宁省,98.96,98.84,98.72,98.77,98.45,98.36,97.44,97.23,96.89,96.94
吉林省,93.40,93.64,93.79,93.84,92.38,92.71,89.60,88.75,88.63,88.03
黑龙江省,97.25,97.20,96.20,95.46,94.14,90.78,88.43,86.56,84.24,81.84
上海市,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
江苏省,99.86,99.83,99.75,99.69,99.70,99.58,99.56,99.65,99.88,99.47
浙江省,99.97,99.95,99.93,99.97,99.88,99.84,99.79,99.81,99.70,99.58
安徽省,99.20,98.79,98.63,98.40,98.02,96.55,96.06,95.25,95.11,94.40
福建省,99.52,99.55,99.49,99.42,99.13,99.11,99.50,99.18,97.47,98.86
江西省,97.69,97.55,97.78,97.73,97.67,97.94,97.43,98.00,96.49,94.59
山东省,99.78,99.95,99.92,99.85,99.85,99.74,99.57,99.47,99.39,98.79
河南省,93.42,93.10,92.99,92.16,91.76,92.64,91.03,88.34,85.56,88.63
湖北省,99.12,98.83,98.75,98.19,98.24,98.25,97.59,97.45,97.88,97.56
湖南省,96.81,97.30,97.05,96.86,96.42,95.68,95.17,94.82,94.57,93.71
广东省,98.06,98.46,97.26,97.47,97.62,98.39,98.37,97.70,93.97,84.80
广西壮族自治区,97.70,97.50,94.40,95.91,95.30,93.91,94.65,94.43,92.87,91.89
海南省,97.41,98.64,98.10,98.38,97.74,96.09,89.43,89.65,83.87,77.15
重庆市,97.13,96.87,96.78,96.25,93.84,93.41,94.05,94.60,93.20,91.49
四川省,93.07,93.05,91.12,91.76,92.04,91.83,90.80,89.68,88.09,86.55
贵州省,96.03,95.43,94.47,92.86,92.07,91.55,94.10,92.09,88.69,82.52
云南省,96.66,97.33,97.85,97.92,94.32,95.09,96.50,96.23,95.22,95.41
西藏自治区,67.57,88.06,89.07,96.95,75.39,91.93,97.42,92.53,86.59,90.58
陕西省,95.61,97.12,96.31,96.52,96.15,95.72,99.39,98.06,96.65,95.70
甘肃省,97.93,97.28,94.95,93.68,92.77,92.50,91.57,89.66,87.85,91.76
青海省,99.21,99.06,99.71,99.08,99.90,99.86,99.87,99.45,100.00,100.00
宁夏回族自治区,94.75,96.40,97.26,96.51,92.30,95.45,98.23,97.20,87.25,90.07
新疆维吾尔自治区,98.86,98.81,98.15,98.08,99.13,99.17,99.17,99.03,92.82,99.12
注：人均和普及率指标按城区人口与暂住人口之和计算，以公安部门的户籍统计和暂住人口统计为准。
数据来源：国家统计局
